dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,0,0.673376,8.75371,1.67906,0.355328,11.5545,11.4615
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,1,0.24304,1.41262,1.67072,0.219136,3.61883,3.54551
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,2,0.248672,1.42368,1.6629,0.218112,3.63279,3.55336
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,3,0.244384,1.46087,1.65825,0.221184,3.67665,3.58469
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,4,0.250784,1.41306,1.6723,0.22016,3.6325,3.55631
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,5,0.245728,1.42278,1.67451,0.22016,3.64494,3.56318
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,6,0.249728,1.40578,1.67526,0.218112,3.62336,3.54888
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,7,0.24512,1.40942,1.67892,0.22016,3.63338,3.55362
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,8,0.248896,1.41679,1.6714,0.224256,3.64209,3.56134
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,9,0.2472,1.41979,1.67134,0.221184,3.63941,3.55951
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,10,0.246944,1.40683,1.67167,0.222208,3.62219,3.54766
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,11,0.24784,1.4225,1.67263,0.221184,3.64387,3.56415
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,12,0.247168,1.4078,1.67338,0.223232,3.63086,3.55158
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,13,0.247264,1.52492,1.66252,0.218112,3.74185,3.65282
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,14,0.246304,1.45128,1.65978,0.222208,3.65485,3.57957
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,15,0.245152,1.4117,1.66822,0.223232,3.63085,3.5483
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,16,0.246976,1.41549,1.66863,0.218112,3.62486,3.54921
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,17,0.244544,1.41696,1.67051,0.22016,3.62802,3.55217
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,18,0.24672,1.45834,1.65261,0.221184,3.62413,3.57885
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,19,0.245728,1.41622,1.6722,0.221184,3.6316,3.55534
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,20,0.244864,1.41545,1.6709,0.221184,3.63117,3.5524
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,21,0.24528,1.41451,1.68383,0.222208,3.65221,3.56582
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,22,0.251008,1.40626,1.67517,0.221184,3.63407,3.55363
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,23,0.248448,1.42266,1.6724,0.22528,3.64645,3.56879
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,24,0.247072,1.41121,1.67268,0.218112,3.6247,3.54907
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,25,0.243104,1.41103,1.6722,0.221184,3.63465,3.54752
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,26,0.2472,1.4187,1.67553,0.219136,3.64031,3.56057
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,27,0.248224,1.43991,1.68015,0.22016,3.66667,3.58844
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,28,0.24736,1.40414,1.66883,0.22016,3.61348,3.54049
3,double,uniform,GPU,"D | D | D | D | D | D",2,203,29,0.246368,1.40542,1.67439,0.22016,3.62396,3.54635
