dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,0,0.867072,301.309,2.91231,0.589792,305.74,305.679
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,1,0.352096,190.679,2.85337,0.30304,194.197,194.187
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,2,0.349088,186.803,2.8438,0.295904,190.298,190.292
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,3,0.343808,189.014,2.88876,0.299008,192.411,192.545
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,4,0.346112,207.258,2.89407,0.30208,209.164,210.8
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,5,0.347296,201.408,2.84407,0.294912,204.901,204.894
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,6,0.347424,193.208,2.85926,0.298976,196.721,196.714
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,7,0.347936,191.722,2.84515,0.295872,195.228,195.211
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,8,0.34976,194.064,2.84541,0.295872,197.563,197.555
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,9,0.349088,206.647,2.85178,0.30304,210.157,210.151
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,10,0.348608,209.299,2.84842,0.302016,212.804,212.798
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,11,0.344864,200.258,2.89018,0.301056,199.692,203.794
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,12,0.343232,189.933,2.89093,0.303104,192.67,193.471
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,13,0.346688,215.353,2.85137,0.297984,218.851,218.849
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,14,0.350912,210.382,2.84632,0.302048,213.896,213.881
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,15,0.353984,194.348,2.84848,0.303072,197.861,197.853
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,16,0.343744,201.082,2.88509,0.301056,201.313,204.612
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,17,0.351744,195.956,2.84062,0.299968,199.463,199.449
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,18,0.345856,195.52,2.84261,0.298976,199.014,199.008
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,19,0.349728,191.547,2.84392,0.295904,195.041,195.037
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,20,0.345504,199.02,2.88824,0.300032,196.841,202.554
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,21,0.34448,198.795,2.89186,0.30208,200.039,202.333
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,22,0.350624,195.375,2.84816,0.299968,198.884,198.874
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,23,0.345408,198.14,2.89104,0.30208,199.231,201.679
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,24,0.347392,192.394,2.90043,0.30208,194.874,195.944
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,25,0.34384,201.229,2.88865,0.302048,196.47,204.763
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,26,0.34432,209.415,2.89554,0.30208,211.086,212.956
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,27,0.346464,198.414,2.88595,0.30208,200.918,201.948
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,28,0.349312,202.922,2.91749,0.302112,204.863,206.491
3,double,uniform,GPU,"D | D | D | D | N | D",8,369,29,0.344832,197.271,2.89129,0.301056,195.638,200.808
