dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,0,0.644864,0.394361,1.21802,0.36864,2.72559,2.62588
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,1,0.227744,0.385358,1.21258,0.221184,2.1655,2.04686
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,2,0.227232,0.384838,1.19193,0.222208,2.14513,2.02621
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,3,0.22768,0.383768,1.25145,0.221184,2.20366,2.08408
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,4,0.229024,0.3873,1.20188,0.219136,2.15455,2.03734
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,5,0.229504,0.381955,1.19994,0.218112,2.14791,2.02951
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,6,0.233632,0.385464,1.20418,0.222208,2.16423,2.04548
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,7,0.234016,0.397887,1.20156,0.221184,2.17785,2.05465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,8,0.232896,0.381913,1.19805,0.218112,2.15019,2.03097
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,9,0.226432,0.383969,1.20489,0.22016,2.15339,2.03545
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,10,0.226112,0.384188,1.20086,0.221184,2.2184,2.03235
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,11,0.233056,0.382258,1.20248,0.218112,2.15693,2.03591
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,12,0.231648,0.381384,1.21496,0.221184,2.16684,2.04918
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,13,0.22976,0.38384,1.20074,0.221184,2.15659,2.03552
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,14,0.232288,0.380679,1.20196,0.221184,2.1548,2.03611
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,15,0.226336,0.38139,1.19767,0.219136,2.14271,2.02453
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,16,0.234944,0.382033,1.205,0.21504,2.1566,2.03701
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,17,0.232704,0.381738,1.20377,0.217088,2.16971,2.0353
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,18,0.226208,0.385623,1.20041,0.221184,2.15596,2.03342
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,19,0.233024,0.382672,1.19853,0.218112,2.15062,2.03234
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,20,0.226624,0.381999,1.19755,0.222208,2.14727,2.02838
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,21,0.23376,0.386756,1.20139,0.219136,2.16009,2.04104
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,22,0.226912,0.382773,1.20438,0.22016,2.1583,2.03423
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,23,0.22992,0.382421,1.20584,0.22016,2.15805,2.03834
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,24,0.239232,0.38323,1.20527,0.218112,2.16522,2.04585
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,25,0.225984,0.38169,1.20453,0.219136,2.14957,2.03134
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,26,0.225376,0.38377,1.20071,0.22016,2.15007,2.03001
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,27,0.228128,0.381882,1.1967,0.219136,2.14184,2.02584
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,28,0.23456,0.382632,1.1999,0.221184,2.1564,2.03828
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,161,29,0.23344,0.383612,1.19976,0.22016,2.15884,2.03697
