dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,0,0.665568,9.78316,1.27084,0.350208,12.1747,12.0698
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,1,0.243104,2.68398,1.25754,0.217088,4.4749,4.40171
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,2,0.2448,2.76191,1.25551,0.219136,4.54948,4.48136
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,3,0.246144,2.68206,1.26118,0.218112,4.47355,4.4075
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,4,0.240544,2.69742,1.26448,0.221184,4.49579,4.42363
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,5,0.252064,2.77214,1.26157,0.222208,4.58877,4.50798
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,6,0.24432,2.70232,1.26281,0.221184,4.50434,4.43063
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,7,0.247168,2.69978,1.25856,0.223232,4.50944,4.42874
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,8,0.253536,2.77701,1.26324,0.222208,4.5954,4.51599
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,9,0.242272,2.72297,1.2481,0.221184,4.50361,4.43452
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,10,0.24912,2.69321,1.25716,0.216064,4.49167,4.41556
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,11,0.245568,2.6814,1.26083,0.214016,4.47185,4.4018
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,12,0.252,2.68819,1.26062,0.224256,4.5058,4.42507
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,13,0.241568,2.68197,1.25932,0.219136,4.46899,4.40199
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,14,0.246432,2.70533,1.25749,0.22016,4.50681,4.42941
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,15,0.242464,2.67588,1.2607,0.221184,4.46804,4.40023
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,16,0.250176,2.69859,1.25681,0.221184,4.50819,4.42676
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,17,0.241856,2.68418,1.26288,0.218112,4.48176,4.40702
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,18,0.243808,2.70242,1.26356,0.223232,4.51324,4.43302
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,19,0.244896,2.69683,1.25513,0.22016,4.49517,4.41702
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,20,0.243008,2.73443,1.26796,0.219136,4.53946,4.46453
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,21,0.244768,2.74865,1.2638,0.22016,4.55749,4.47737
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,22,0.245312,2.7607,1.26599,0.22016,4.57006,4.49217
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,23,0.246048,2.68005,1.25764,0.22016,4.47666,4.40389
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,24,0.242208,2.69354,1.2592,0.218112,4.49065,4.41306
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,25,0.242592,2.67325,1.25889,0.218112,4.46566,4.39284
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,26,0.24064,2.6959,1.25027,0.219136,4.47963,4.40595
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,27,0.24336,2.68516,1.25363,0.218112,4.47673,4.40026
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,28,0.243392,2.72128,1.25703,0.218112,4.56605,4.43981
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,29,0.246912,2.66581,1.36017,0.22016,4.5659,4.49305
