dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,0,0.67024,10.069,1.24048,0.3584,12.4578,12.3381
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,1,0.24432,2.67984,1.23056,0.223232,4.44946,4.37796
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,2,0.24416,2.67117,1.22234,0.22016,4.4311,4.35783
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,3,0.24112,2.67976,1.21993,0.218112,4.43368,4.35892
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,4,0.244224,2.68592,1.21537,0.21504,4.43515,4.36056
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,5,0.242976,2.69534,1.22358,0.221184,4.45751,4.38308
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,6,0.248064,2.67588,1.2231,0.218112,4.44199,4.36516
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,7,0.24528,2.66882,1.22953,0.218112,4.43662,4.36175
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,8,0.24816,2.70125,1.22803,0.22016,4.47861,4.39761
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,9,0.243392,2.68911,1.22616,0.222208,4.45506,4.38087
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,10,0.245664,2.69307,1.22168,0.222208,4.45987,4.38262
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,11,0.246688,2.66974,1.22348,0.22016,4.43374,4.36006
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,12,0.24704,2.70255,1.22325,0.219136,4.4686,4.39197
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,13,0.244128,2.67907,1.21792,0.218112,4.43351,4.35923
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,14,0.299328,2.70057,1.22529,0.219136,4.5253,4.44433
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,15,0.243392,2.67882,1.21826,0.22016,4.44154,4.36063
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,16,0.245952,2.69768,1.22759,0.218112,4.46555,4.38933
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,17,0.249056,2.67519,1.23051,0.219136,4.44297,4.37389
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,18,0.245024,2.68153,1.22746,0.218112,4.44602,4.37213
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,19,0.24144,2.67671,1.22076,0.217088,4.4239,4.356
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,20,0.247456,2.68017,1.22122,0.218112,4.44209,4.36696
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,21,0.245504,2.69099,1.22365,0.218112,4.45815,4.37826
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,22,0.245152,2.69074,1.225,0.219136,4.45982,4.38003
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,23,0.245728,2.66133,1.22514,0.218112,4.42438,4.35031
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,24,0.244704,2.68588,1.22253,0.217088,4.44722,4.3702
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,25,0.243488,2.66998,1.22519,0.21504,4.42873,4.3537
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,26,0.247392,2.68518,1.22843,0.222208,4.46419,4.38321
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,27,0.245312,2.70828,1.22631,0.218112,4.47244,4.39801
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,28,0.245536,2.69847,1.2285,0.219136,4.47181,4.39165
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,203,29,0.238048,2.68535,1.22358,0.217088,4.43468,4.36407
