dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,0,0.660608,8.96482,2.09912,0.359424,12.1961,12.084
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,1,0.247456,1.40638,2.07773,0.227328,4.03194,3.9589
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,2,0.247552,1.41048,2.06948,0.22528,4.02874,3.9528
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,3,0.246944,1.41418,2.07065,0.223232,4.0333,3.95501
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,4,0.248064,1.42458,2.07401,0.22528,4.04946,3.97194
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,5,0.2456,1.41869,2.07228,0.227328,4.04226,3.9639
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,6,0.244224,1.43277,2.05334,0.223232,4.03406,3.95357
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,7,0.248384,1.40963,2.14427,0.227328,4.11026,4.02962
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,8,0.246816,1.46656,2.07227,0.224256,4.08586,4.0099
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,9,0.249056,1.43425,2.07479,0.22528,4.06283,3.98337
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,10,0.248512,1.40948,2.07333,0.223232,4.0299,3.95455
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,11,0.247488,1.41682,2.07139,0.22528,4.04203,3.96098
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,12,0.246272,1.40094,2.07026,0.2304,4.02305,3.94787
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,13,0.247072,1.41938,2.13035,0.224256,4.09987,4.02106
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,14,0.251104,1.41272,2.07546,0.22528,4.05724,3.96457
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,15,0.252064,1.41655,2.06857,0.229376,4.06476,3.96655
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,16,0.246816,1.41114,2.07414,0.223232,4.03192,3.95533
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,17,0.248576,1.41412,2.07326,0.222208,4.03318,3.95816
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,18,0.246176,1.4101,2.0717,0.22528,4.03432,3.95326
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,19,0.243584,1.44757,2.04528,0.222208,4.03332,3.95864
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,20,0.249472,1.41571,2.07254,0.22528,4.04177,3.963
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,21,0.246048,1.40616,2.0864,0.224256,4.04243,3.96287
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,22,0.246912,1.4121,2.0821,0.22528,4.04853,3.96639
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,23,0.247168,1.41898,2.07072,0.22528,4.03878,3.96215
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,24,0.245056,1.41173,2.07681,0.228352,4.03788,3.96195
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,25,0.24656,1.40759,2.07273,0.223232,4.0274,3.95011
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,26,0.247072,1.40906,2.07089,0.222208,4.02518,3.94923
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,27,0.249184,1.41093,2.07713,0.22528,4.04074,3.96253
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,28,0.245184,1.40723,2.07219,0.226304,4.02898,3.95091
3,double,uniform,GPU,"N | N | N | N | N | N",2,203,29,0.24592,1.40864,2.06755,0.223232,4.02118,3.94534
