dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,0,0.845216,0,2999.46,1.27283,3001.75,3001.58
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,1,0.756864,0,2463.81,0.770048,2465.43,2465.34
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,2,0.755776,0,2449.93,0.764864,2451.54,2451.45
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,3,0.762528,0,2433.44,0.755712,2434.46,2434.96
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,4,0.756928,0,2430.85,0.764928,2432.46,2432.37
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,5,0.764224,0,2535.49,0.761856,2509.61,2537.02
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,6,0.773824,0,2431.26,0.763872,2432.81,2432.79
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,7,0.762176,0,2440.85,0.760832,2442.32,2442.37
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,8,0.764256,0,2525.82,0.760832,2511.1,2527.35
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,9,0.771456,0,2433.37,0.771072,2434.92,2434.91
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,10,0.767872,0,2445.81,0.765952,2447.46,2447.35
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,11,0.755968,0,2463.96,0.768992,2465.58,2465.48
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,12,0.758944,0,2479.88,0.758784,2481.29,2481.39
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,13,0.756,0,2446.31,0.755712,2447.92,2447.82
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,14,0.754528,0,2435.87,0.756736,2437.47,2437.38
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,15,0.764256,0,2433.73,0.758784,2435.15,2435.25
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,16,0.75968,0,2434.16,0.75776,2435.48,2435.68
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,17,0.75552,0,2426.69,0.766976,2428.3,2428.21
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,18,0.760224,0,2448.06,0.760832,2448.97,2449.58
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,19,0.756736,0,2444.08,0.755712,2445.69,2445.6
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,20,0.758848,0,2443.88,0.758784,2443.62,2445.39
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,21,0.756384,0,2428.03,0.756736,2429.64,2429.55
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,22,0.763104,0,2433.74,0.759808,2435.26,2435.26
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,23,0.767136,0,2430.25,0.781312,2431.91,2431.8
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,24,0.75472,0,2451.02,0.758784,2452.63,2452.53
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,25,0.75504,0,2430.05,0.753632,2431.65,2431.56
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,26,0.759904,0,2430.11,0.758784,2431.31,2431.63
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,27,0.75616,0,2424.77,0.756768,2426.38,2426.29
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,28,0.759552,0,2430.9,0.758784,2432.23,2432.42
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,29,0.759232,0,2433.89,0.75776,2434.55,2435.41
