dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,0,0.909024,209.227,1.9797,0.591872,212.808,212.708
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,1,0.303808,132.962,1.94084,0.283616,135.506,135.49
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,2,0.310336,137.729,1.95062,0.279552,140.277,140.269
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,3,0.300448,131.502,1.9547,0.281568,134.047,134.038
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,4,0.298816,135.974,1.94639,0.278496,138.5,138.497
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,5,0.29616,128.939,1.95632,0.276448,131.47,131.468
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,6,0.299264,128.941,1.94428,0.278464,131.474,131.464
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,7,0.297344,133.364,1.94781,0.277504,135.888,135.887
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,8,0.297504,134.587,1.94977,0.276416,137.115,137.11
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,9,0.297664,136.95,1.95153,0.275392,139.479,139.475
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,10,0.301152,131.433,1.94696,0.29184,133.975,133.973
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,11,0.300096,126.248,1.94645,0.27952,128.785,128.774
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,12,0.296896,129.426,1.95697,0.277472,131.965,131.958
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,13,0.298144,133.425,1.94014,0.277472,135.942,135.941
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,14,0.30192,128.587,1.94449,0.2816,131.124,131.115
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,15,0.29856,137.353,1.94126,0.278496,139.876,139.872
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,16,0.300448,128.671,1.93615,0.27648,131.185,131.184
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,17,0.296576,131.935,1.94146,0.282592,134.457,134.456
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,18,0.298816,134.033,1.92953,0.27648,136.555,136.538
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,19,0.299296,135.581,1.9302,0.275392,138.091,138.086
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,20,0.299968,137.271,1.94303,0.280544,139.805,139.794
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,21,0.297472,134.241,1.9342,0.277472,136.754,136.75
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,22,0.300096,120.26,1.95303,0.27952,122.809,122.793
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,23,0.29552,131.313,1.94788,0.277504,133.839,133.834
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,24,0.300032,132.79,1.92744,0.277504,135.303,135.295
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,25,0.298656,128.436,1.93443,0.275392,130.966,130.944
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,26,0.29808,135.99,1.93694,0.278496,138.506,138.504
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,27,0.300192,142.194,1.94818,0.280544,144.732,144.723
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,28,0.29792,127.501,1.94123,0.283584,130.026,130.024
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,29,0.29824,120.657,1.93321,0.27744,123.175,123.166
