dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,0,0.732096,12.1595,1.05042,0.638976,14.7342,14.581
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,1,0.216416,2.73203,1.01502,0.45568,4.48219,4.41915
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,2,0.219584,2.72627,0.969897,0.452608,4.43163,4.36836
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,3,0.217536,2.75426,0.982249,0.45568,4.49405,4.40973
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,4,0.217952,2.6982,0.989791,0.456704,4.4416,4.36265
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,5,0.219168,2.76898,0.97855,0.453632,4.46325,4.42033
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,6,0.213376,2.67704,0.999929,0.453632,4.4112,4.34397
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,7,0.2184,2.68332,0.981591,0.454656,4.43636,4.33796
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,8,0.221024,2.69625,0.997903,0.457728,4.43537,4.37291
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,9,0.218496,2.75668,0.978551,0.456704,4.42915,4.41043
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,10,0.217344,2.67892,0.982734,0.456704,4.41968,4.3357
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,11,0.21808,2.72152,0.995026,0.457728,4.48193,4.39235
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,12,0.215104,2.67495,0.980439,0.453632,4.39626,4.32412
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,13,0.2184,2.67283,0.993109,0.453632,4.41753,4.33798
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,14,0.216768,2.69046,0.988494,0.458752,4.3978,4.35447
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,15,0.21952,2.69847,1.0138,0.453632,4.48095,4.38542
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,16,0.217408,2.69638,0.981609,0.453632,4.43473,4.34903
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,17,0.215936,2.67042,0.985712,0.453632,4.41363,4.3257
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,18,0.217152,2.70356,0.991917,0.45568,4.40264,4.36831
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,19,0.216448,2.67041,0.987063,0.453632,4.41994,4.32755
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,20,0.215616,2.67354,0.991367,0.468992,4.43642,4.34952
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,21,0.214336,2.79352,0.981187,0.454656,4.42976,4.4437
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,22,0.216,2.67323,0.984361,0.454656,4.46726,4.32824
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,23,0.215648,2.82949,0.983142,0.454656,4.53108,4.48294
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,24,0.219616,2.75127,0.983603,0.453632,4.45039,4.40812
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,25,0.217472,2.69249,0.99632,0.458752,4.41146,4.36503
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,26,0.214976,2.7466,0.984535,0.454656,4.49574,4.40076
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,27,0.220384,2.75628,0.985136,0.458752,4.45734,4.42055
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,28,0.220576,2.80671,0.986843,0.453632,4.55832,4.46776
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",4,256,29,0.216224,2.67557,0.984848,0.454656,4.41849,4.3313
