dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,0,0.908448,1225.09,6.95535,2.56,1205.96,1235.52
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,1,0.866816,1156.29,6.93136,1.85341,1163.98,1165.95
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,2,0.867296,1164.59,6.94395,1.85955,1166.93,1174.26
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,3,0.867008,1180.64,6.9374,1.86262,1190.44,1190.31
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,4,0.866848,1173.93,6.94262,1.85846,1163.77,1183.6
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,5,0.8664,1226.16,6.91783,1.85238,1214.9,1235.79
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,6,0.871936,1201.37,6.92533,1.85747,1205.36,1211.02
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,7,0.864512,1160.88,6.9335,1.85443,1166.28,1170.53
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,8,0.879008,1172.03,6.85127,1.8903,1176.02,1181.65
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,9,0.865984,1158.59,6.91436,1.85846,1168.36,1168.23
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,10,0.866592,1198.85,6.9081,1.85034,1200.85,1208.48
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,11,0.861632,1174.48,6.93864,1.85648,1178.86,1184.14
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,12,0.868032,1210.21,6.91816,1.86058,1219.99,1219.86
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,13,0.86816,1160.01,6.92144,1.86157,1169.8,1169.66
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,14,0.878336,1156.77,6.8592,1.8944,1166.3,1166.41
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,15,0.861664,1138.84,6.88842,1.85539,1146.9,1148.44
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,16,0.865088,1184.95,6.91202,1.84928,1179.43,1194.58
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,17,0.86272,1173.68,6.93195,1.84826,1175.27,1183.32
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,18,0.888096,1140.58,6.88325,1.90157,1150.29,1150.25
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,19,0.866784,1128.56,6.96414,1.85037,1135.9,1138.24
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,20,0.865952,1156.94,6.9226,1.85238,1165.97,1166.58
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,21,0.864512,1140.19,6.90206,1.84829,1135.6,1149.8
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,22,0.880256,1139.8,6.83377,1.8903,1147.52,1149.41
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,23,0.864576,1128.65,6.93571,1.85133,1131.5,1138.3
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,24,0.866624,1163.56,6.91203,1.85344,1153.05,1173.19
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,25,0.881536,1191.08,6.99301,1.87802,1190.84,1200.83
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,26,0.896576,1141.88,6.89199,1.89952,1150.95,1151.57
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,27,0.879968,1151.93,7.0268,1.86989,1161.88,1161.71
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,28,0.869152,1167.15,6.92646,1.85552,1167.91,1176.8
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,465,29,0.862176,1143.62,6.93749,1.84931,1148.56,1153.27
