dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,0,0.73152,2.01544,3.85892,2.19853,8.94695,8.80441
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,1,0.707392,2.00742,3.81958,1.75923,8.43302,8.29363
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,2,0.708864,2.00574,3.7827,1.75616,8.3937,8.25346
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,3,0.704288,2.00581,3.78987,1.75718,8.39884,8.25715
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,4,0.70416,2.00537,3.7821,1.75923,8.38988,8.25086
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,5,0.709952,2.00514,3.77826,1.75411,8.38955,8.24746
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,6,0.705056,2.01195,3.78063,1.75923,8.39596,8.25686
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,7,0.704576,2.0053,3.78845,1.75718,8.39462,8.2555
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,8,0.705536,2.00712,3.78772,1.75923,8.40075,8.25961
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,9,0.708736,2.00615,3.779,1.75923,8.39195,8.25311
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,10,0.708768,2.00518,3.78486,1.75718,8.39449,8.25599
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,11,0.706112,2.00662,3.77991,1.75821,8.39213,8.25085
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,12,0.705216,2.00689,3.7909,1.75616,8.39728,8.25916
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,13,0.705952,2.00766,3.78864,1.76026,8.3973,8.26251
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,14,0.704704,2.00491,3.78435,1.75821,8.39038,8.25218
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,15,0.707232,2.00412,3.78307,1.75718,8.39051,8.2516
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,16,0.70736,2.00495,3.78953,1.75718,8.39832,8.25902
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,17,0.707392,2.00627,3.79338,1.75718,8.40445,8.26423
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,18,0.707712,2.00555,3.78746,1.75718,8.39581,8.2579
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,19,0.70656,2.00512,3.78552,1.75718,8.39542,8.25438
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,20,0.705344,2.00637,3.7895,1.75923,8.40012,8.26045
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,21,0.708608,2.0061,3.79199,1.75514,8.39962,8.26183
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,22,0.707104,2.00521,3.78378,1.75411,8.39002,8.25021
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,23,0.706368,2.00535,3.78246,1.75616,8.38869,8.25034
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,24,0.706304,2.00506,3.78528,1.75616,8.39187,8.2528
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,25,0.707392,2.01173,3.79362,1.75514,8.40568,8.26787
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,26,0.70608,2.00655,3.77702,1.75718,8.38626,8.24683
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,27,0.708864,2.00683,3.78972,1.75411,8.39913,8.25952
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,28,0.703552,2.007,3.79257,1.75514,8.39906,8.25826
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,256,29,0.704128,2.00753,3.78767,1.75616,8.39708,8.25548
