dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,0,1.31325,0,657.063,1.20419,659.553,659.58
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,1,0.304032,0,469.594,0.647072,470.483,470.545
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,2,0.30128,0,467.077,0.65632,468,468.035
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,3,0.305216,0,463.778,0.656288,464.676,464.74
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,4,0.299232,0,520.404,0.644128,521.288,521.348
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,5,0.2968,0,495.27,0.64096,496.145,496.208
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,6,0.298976,0,464.779,0.645088,465.659,465.723
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,7,0.300544,0,459.734,0.655328,460.677,460.69
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,8,0.30336,0,466.432,0.658368,467.323,467.394
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,9,0.293312,0,479.86,0.637888,480.726,480.791
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,10,0.2968,0,481.311,0.642976,482.187,482.251
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,11,0.302272,0,478.449,0.64608,479.343,479.397
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,12,0.297728,0,471.495,0.639936,472.361,472.432
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,13,0.304032,0,468.88,0.641984,469.765,469.826
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,14,0.3072,0,463.923,0.658336,464.804,464.888
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,15,0.30736,0,475.056,0.662496,475.976,476.026
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,16,0.299584,0,474.498,0.64608,475.383,475.444
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,17,0.29824,0,463.176,0.639968,464.051,464.115
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,18,0.298176,0,637.842,0.639968,638.715,638.78
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,19,0.296832,0,471.542,0.63888,472.415,472.478
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,20,0.297056,0,475.714,0.644064,476.585,476.655
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,21,0.301792,0,448.276,0.648128,449.161,449.226
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,22,0.297792,0,472.786,0.638912,473.655,473.723
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,23,0.304256,0,458.458,0.644064,459.34,459.406
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,24,0.299712,0,471.009,0.645056,471.901,471.954
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,25,0.302432,0,470.87,0.645152,471.75,471.818
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,26,0.306048,0,469.138,0.670624,470.084,470.115
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,27,0.303424,0,474.354,0.646048,475.241,475.304
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,28,0.301504,0,460.824,0.641952,461.7,461.767
3,double,uniform,GPU,"P | P | P | P | P | P",6,323,29,0.29968,0,462.403,0.638976,463.27,463.342
