dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,0,15.9613,12.8279,0.541364,0.242688,30.058,29.5733
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,1,14.9502,2.45151,0.529106,0.105472,18.1217,18.0363
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,2,15.1117,2.44397,0.491964,0.105472,18.1635,18.1531
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,3,14.9096,2.52859,0.491676,0.106496,18.0989,18.0364
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,4,14.9996,2.45659,0.495746,0.106496,18.1213,18.0584
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,5,14.9604,2.46384,0.493272,0.106496,18.0025,18.024
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,6,15.0067,2.49026,0.498095,0.105472,18.1401,18.1005
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,7,15.0729,2.47259,0.489541,0.106496,18.1204,18.1416
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,8,15.177,2.45368,0.486004,0.10752,18.2387,18.2242
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,9,15.0526,2.44836,0.496281,0.105472,18.2131,18.1028
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,10,15.1081,2.47038,0.48687,0.106496,18.5219,18.1719
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,11,14.9429,2.57198,0.492345,0.103424,18.3004,18.1107
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,12,15.0559,2.4641,0.49692,0.103424,18.2717,18.1204
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,13,15.1303,2.46476,0.495203,0.103424,18.1013,18.1937
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,14,15.1382,2.45994,0.487186,0.105472,18.2762,18.1908
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,15,15.05,2.45412,0.496306,0.105472,18.2663,18.1059
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,16,15.3124,2.44541,0.482334,0.10752,18.2171,18.3477
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,17,15.2184,2.51671,0.493079,0.105472,18.2846,18.3337
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,18,14.7574,2.7928,0.493136,0.104448,18.3335,18.1478
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,19,15.2311,2.44482,0.488303,0.106496,18.2901,18.2707
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,20,15.0531,2.47187,0.490214,0.105472,18.258,18.1207
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,21,15.1615,2.43913,0.510986,0.106496,18.1395,18.2181
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,22,15.1965,2.43587,0.493503,0.105472,18.0792,18.2314
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,23,14.9461,2.4354,0.489822,0.105472,18.1588,17.9768
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,24,14.9455,2.45662,0.490478,0.106496,18.2279,17.9991
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,25,15.0742,2.44876,0.489236,0.1024,18.0737,18.1146
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,26,15.0663,2.4533,0.491166,0.103424,18.2394,18.1142
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,27,15.1462,2.4613,0.491727,0.106496,18.2964,18.2057
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,28,14.9302,2.45947,0.488624,0.103424,18.1397,17.9817
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,29,15.1034,2.44816,0.492852,0.10752,18.3391,18.1519
