dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,0,62.9532,675.463,4.25521,2.50982,748.728,745.181
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,1,63.4216,681.183,4.4127,2.2313,754.632,751.248
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,2,62.8907,679.237,4.37451,2.23232,751.99,748.735
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,3,63.3088,678.452,4.46985,2.23949,751.733,748.47
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,4,64.3813,681.051,4.3005,2.2016,755.273,751.934
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,5,63.6998,682.505,4.294,2.17293,755.948,752.672
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,6,63.2723,680.094,4.33281,2.19546,753.242,749.894
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,7,63.175,681.048,4.44773,2.17907,754.157,750.85
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,8,63.4076,682.362,4.48604,2.27021,755.794,752.526
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,9,63.0703,680.14,4.40246,2.176,752.998,749.789
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,10,63.8574,684.328,4.34619,2.1801,757.93,754.712
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,11,64.0192,682.026,4.52104,2.24666,756.095,752.813
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,12,63.8392,681.938,4.48695,2.15654,755.7,752.421
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,13,63.5036,680.333,4.51144,2.20979,753.818,750.557
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,14,63.7366,679.805,4.34835,2.19648,753.396,750.086
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,15,64.2892,681.539,4.25991,2.23437,755.59,752.322
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,16,63.7442,682.183,4.33161,2.23027,755.758,752.489
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,17,63.8889,682.437,4.39389,2.2313,755.992,752.951
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,18,63.6384,681.968,4.38884,2.2272,755.585,752.223
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,19,62.994,680.556,4.2849,2.26918,753.061,750.104
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,20,63.7987,681.919,4.50114,2.18112,755.671,752.4
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,21,63.862,679.095,4.50902,2.19443,753.004,749.661
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,22,63.7517,682.741,4.40361,2.24768,756.392,753.145
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,23,63.8792,682.863,4.3627,2.19136,756.538,753.297
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,24,64.0562,680.562,4.31223,2.18829,754.405,751.119
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,25,64.0609,681.455,4.30977,2.21594,755.347,752.042
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,26,64.0659,682.853,4.27648,2.20365,756.478,753.399
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,27,63.4801,679.058,4.38123,2.18726,752.351,749.107
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,28,63.6352,682.899,4.37784,2.22413,756.37,753.136
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",2,323,29,63.8576,682.253,4.29401,2.20672,755.942,752.611
