dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,0,55.6715,0,3113.34,1.06598,3170.22,3170.07
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,1,55.4964,0,1599.46,0.787456,1655.82,1655.75
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,2,55.8094,0,1600.83,0.784384,1657.49,1657.42
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,3,55.7583,0,1599.87,0.784384,1656.49,1656.42
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,4,55.511,0,1601.97,0.786432,1658.35,1658.27
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,5,55.436,0,1601.46,0.780288,1657.76,1657.68
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,6,55.0674,0,1601.7,0.791552,1657.65,1657.56
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,7,55.6219,0,1600.04,0.786432,1656.53,1656.45
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,8,55.1296,0,1602,0.784384,1657.99,1657.91
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,9,55.737,0,1600.24,0.789504,1656.85,1656.76
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,10,54.9363,0,1600.95,0.782336,1656.74,1656.66
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,11,54.9982,0,1601.14,0.78336,1656.99,1656.92
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,12,55.0567,0,1600.9,0.784384,1656.82,1656.74
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,13,55.5252,0,1600.9,0.782336,1657.28,1657.21
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,14,55.0952,0,1601.5,0.785408,1657.45,1657.38
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,15,55.1341,0,1601.8,0.7936,1657.81,1657.73
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,16,55.679,0,1602,0.782336,1658.54,1658.46
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,17,55.2001,0,1601.14,0.78336,1657.23,1657.13
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,18,55.3122,0,1601.66,0.787456,1657.84,1657.76
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,19,55.1188,0,1601.22,0.78336,1657.19,1657.12
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,20,55.1263,0,1601.52,0.787456,1657.52,1657.43
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,21,55.089,0,1601.32,0.785408,1657.27,1657.19
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,22,56.088,0,1600.4,0.784384,1657.35,1657.27
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,23,55.361,0,1601.43,0.784384,1657.65,1657.57
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,24,55.2219,0,1601.8,0.781312,1657.87,1657.8
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,25,55.7011,0,1600.25,0.78336,1656.81,1656.74
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,26,55.7166,0,1601.39,0.781312,1657.96,1657.89
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,27,55.3639,0,1601.68,0.784384,1657.92,1657.83
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,28,55.5472,0,1601.32,0.782336,1657.72,1657.65
3,double,uniform,CPU,"D | D | D | D | D | D",1,256,29,55.6946,0,1600.96,0.786432,1657.53,1657.44
