dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,0,55.6913,1.37753,5.71345,1.18989,64.0884,63.9722
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,1,55.5095,1.36421,5.68899,0.796672,63.4393,63.3594
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,2,54.8736,1.36639,5.69697,0.79872,62.8169,62.7357
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,3,55.6764,1.36503,5.71614,0.802816,63.6422,63.5603
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,4,55.235,1.36563,5.69907,0.79872,63.1907,63.0984
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,5,55.0447,1.36538,5.70953,0.801792,63.0021,62.9214
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,6,55.4361,1.36517,5.69188,0.797696,63.3716,63.2909
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,7,55.4421,1.36507,5.70399,0.799744,63.3874,63.3109
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,8,55.5349,1.36371,5.71116,0.796672,63.4888,63.4065
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,9,55.9033,1.36477,5.70837,0.797696,63.8546,63.7742
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,10,55.6347,1.36432,5.70247,0.797696,63.5816,63.4992
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,11,55.2912,1.36492,5.70236,0.796672,63.2354,63.1552
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,12,55.291,1.36291,5.69874,0.795648,63.2263,63.1483
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,13,55.4831,1.36487,5.71159,0.797696,63.4377,63.3573
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,14,55.6509,1.36451,5.71289,0.79872,63.6096,63.527
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,15,55.6747,1.36532,5.70423,0.795648,63.6202,63.5399
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,16,55.9995,1.36645,5.70845,0.795648,63.9516,63.8701
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,17,54.7186,1.36849,5.69936,0.79872,62.6684,62.5852
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,18,55.1707,1.36662,5.70954,0.79872,63.1318,63.0456
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,19,55.5037,1.36372,5.69059,0.799744,63.4395,63.3578
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,20,55.1727,1.36623,5.72279,0.797696,63.1392,63.0594
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,21,56.1148,1.3655,5.70408,0.804864,64.0834,63.9892
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,22,55.4196,1.36722,5.70807,0.796672,63.3728,63.2916
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,23,55.9131,1.36689,5.71771,0.79872,63.8776,63.7964
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,24,54.8568,1.373,5.69469,0.79872,62.8035,62.7232
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,25,54.7701,1.36391,5.69414,0.795648,62.7048,62.6237
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,26,55.3228,1.36685,5.69157,0.797696,63.2573,63.1789
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,27,55.2894,1.36896,5.70368,0.79872,63.2435,63.1608
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,28,54.9594,1.36398,5.70759,0.802816,62.9101,62.8338
3,double,uniform,CPU,"D | D | D | D | N | D",1,256,29,55.194,1.36625,5.69629,0.795648,63.1295,63.0522
