dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,0,25.8918,306.255,2.43339,0.619456,335.393,335.2
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,1,22.7645,200.039,2.46605,0.302016,223.435,225.571
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,2,24.1334,201.352,2.53266,0.316384,228.449,228.334
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,3,22.7858,196.236,2.47032,0.298976,219.244,221.791
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,4,24.5455,220.943,2.57486,0.314336,248.49,248.378
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,5,22.7759,203.453,2.47038,0.303104,227.569,229.002
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,6,22.781,206.675,2.46979,0.307136,231.021,232.233
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,7,22.7619,199.259,2.46395,0.302016,222.841,224.787
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,8,24.4243,196.282,2.52873,0.315328,223.699,223.55
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,9,24.1412,192.858,2.60908,0.347104,220.088,219.955
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,10,22.9879,201.415,2.47883,0.302016,226.313,227.184
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,11,24.1833,197.705,2.51867,0.311296,224.826,224.718
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,12,24.2989,195.66,2.41981,0.298944,222.767,222.678
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,13,22.7807,200.886,2.46747,0.302016,225.081,226.436
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,14,24.426,197.147,2.53559,0.32256,224.548,224.431
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,15,22.8552,195.637,2.47057,0.30208,220.561,221.264
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,16,22.8668,197.601,2.4663,0.303136,222.77,223.237
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,17,22.8548,195.481,2.46705,0.301024,219.773,221.104
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,18,22.7765,203.887,2.46922,0.3072,222.957,229.44
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,19,22.7853,196.796,2.46643,0.3,221.763,222.347
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,20,22.8423,197.539,2.47309,0.30208,221.873,223.157
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,21,24.2571,193.941,2.52014,0.31024,221.145,221.029
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,22,24.471,198.855,2.59845,0.33376,226.393,226.258
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,23,22.8892,191.19,2.48194,0.302016,214.397,216.863
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,24,24.2939,204.776,2.52357,0.316384,232.028,231.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,25,22.839,205.041,2.47136,0.306144,227.263,230.657
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,26,24.2151,201.896,2.52508,0.309184,229.055,228.945
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,27,22.644,196.647,2.47123,0.300032,221.316,222.062
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,28,22.8615,223.695,2.4802,0.30512,244.591,249.341
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,369,29,22.8152,199.002,2.46569,0.301024,223.116,224.584
