dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,0,16.5169,12.0933,0.825979,0.334848,29.3879,29.771
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,1,15.2196,3.1075,0.807268,0.200704,19.0548,19.3351
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,2,15.2211,3.1218,0.78082,0.19968,18.9159,19.3234
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,3,15.2114,3.11216,0.785794,0.200704,19.0147,19.31
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,4,15.1238,3.10566,0.788638,0.19968,18.7951,19.2178
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,5,15.3289,3.1093,0.778064,0.19968,18.8672,19.4159
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,6,15.2279,3.09827,0.787005,0.202752,18.9939,19.3159
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,7,15.2728,3.09744,0.78795,0.202752,18.9791,19.3609
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,8,15.2775,3.09059,0.787222,0.200704,18.898,19.356
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,9,15.2839,3.08359,0.784009,0.200704,19.0758,19.3522
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,10,15.1897,3.08348,0.827349,0.19968,18.9091,19.3002
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,11,15.2483,3.13322,0.785431,0.19968,18.986,19.3667
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,12,15.2004,3.09163,0.786413,0.203776,18.9437,19.2823
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,13,15.2519,3.07134,0.78716,0.19968,18.8438,19.31
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,14,15.1165,3.07592,0.797561,0.19968,18.7648,19.1897
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,15,15.2604,3.08257,0.787984,0.208896,19.03,19.3398
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,16,14.987,3.07824,0.792165,0.200704,18.7262,19.0582
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,17,15.1998,3.07042,0.78924,0.200704,18.8095,19.2602
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,18,15.2914,3.06383,0.788272,0.198656,18.8573,19.3421
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,19,15.2831,3.09587,0.790151,0.19968,18.9059,19.3688
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,20,15.165,3.09572,0.788053,0.20992,18.9308,19.2587
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,21,15.2737,3.07674,0.870906,0.198656,18.9036,19.42
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,22,15.1014,3.0772,0.789778,0.19968,18.8058,19.168
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,23,15.323,3.0958,0.787921,0.200704,19.0086,19.4074
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,24,15.2318,3.06498,0.793229,0.19968,18.9559,19.2897
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,25,15.2565,3.06888,0.782382,0.198656,19.0374,19.3065
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,26,15.123,3.06906,0.781753,0.201728,18.8198,19.1755
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,27,15.3632,3.081,0.793227,0.19968,19.1712,19.4371
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,28,15.0877,3.12449,0.792457,0.197632,18.8521,19.2023
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,29,15.0328,3.08164,0.792447,0.200704,18.7254,19.1076
