dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,0,63.4381,672.478,6.11091,2.39514,744.558,744.422
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,1,62.6196,680.399,6.09507,1.92512,751.141,751.039
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,2,64.2788,679.079,6.12536,1.93536,751.535,751.418
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,3,63.8124,683.869,6.06043,1.93741,755.782,755.679
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,4,63.5191,682.064,6.08441,1.93024,753.698,753.598
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,5,63.9193,680.886,6.15153,1.93331,752.987,752.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,6,63.4005,680.248,6.05654,1.92922,751.738,751.634
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,7,62.9038,679.445,6.12521,1.93024,750.505,750.404
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,8,63.5146,677.544,6.06001,1.93843,749.157,749.057
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,9,63.4741,683.146,6.03381,1.93024,754.683,754.584
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,10,63.9678,678.919,6.08464,1.93024,751.007,750.902
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,11,63.1582,682.68,6.02014,1.93024,753.888,753.789
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,12,63.5521,684.449,6.06031,1.93126,756.097,755.992
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,13,63.597,679.892,6.10076,1.92922,751.614,751.519
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,14,63.7649,678.84,6.00355,1.93229,750.647,750.541
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,15,63.5947,681.239,6.15417,1.92717,752.794,752.915
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,16,63.773,683.525,6.09247,1.92819,755.424,755.319
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,17,63.7025,682.5,6.1426,1.92922,754.378,754.274
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,18,63.7676,681.728,6.10264,1.92819,753.631,753.527
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,19,63.3217,679.326,6.07839,1.92819,750.755,750.654
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,20,63.8261,683.01,6.04177,1.92614,754.903,754.804
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,21,63.3954,679.713,6.07646,1.92102,751.062,751.106
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,22,63.678,681.438,6.08823,1.93229,753.237,753.136
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,23,63.5793,680.32,6.05857,1.92614,751.979,751.884
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,24,63.042,676.878,6.16884,1.92717,748.118,748.016
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,25,63.3817,678.223,6.10958,1.93024,749.748,749.644
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,26,63.8709,678.784,6.09429,1.92512,750.773,750.674
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,27,63.5779,681.803,6.03794,1.93229,753.454,753.351
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,28,62.787,679.223,6.04469,1.93126,750.088,749.986
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,323,29,63.9219,678.106,6.08443,1.92922,750.139,750.041
