dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,0,15.1239,0.393644,1.09745,0.360448,17.0983,16.9754
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,1,14.2147,0.380983,1.07349,0.22528,15.9996,15.8944
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,2,14.1816,0.379109,1.06534,0.221184,15.9306,15.8472
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,3,14.425,0.380095,1.06374,0.224256,16.179,16.0931
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,4,14.5072,0.381183,1.06377,0.224256,16.2632,16.1764
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,5,13.9464,0.379879,1.06276,0.221184,15.7566,15.6102
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,6,14.0591,0.380778,1.0645,0.223232,15.8082,15.7276
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,7,14.2676,0.380639,1.06257,0.22016,16.0136,15.931
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,8,14.142,0.384248,1.06346,0.223232,15.8996,15.8129
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,9,13.9308,0.382478,1.06594,0.223232,15.6874,15.6024
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,10,13.9703,0.379888,1.05998,0.22528,15.7155,15.6354
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,11,14.0561,0.391527,1.06668,0.22016,15.8135,15.7344
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,12,14.2442,0.38038,1.06831,0.22528,15.9991,15.9182
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,13,14.0636,0.380565,1.06479,0.221184,15.8091,15.7302
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,14,14.2208,0.383024,1.0646,0.222208,15.9747,15.8906
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,15,14.0462,0.394527,1.066,0.223232,15.8156,15.73
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,16,14.2316,0.379413,1.06617,0.221184,15.9816,15.8983
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,17,14.0171,0.392295,1.06504,0.224256,15.7795,15.6987
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,18,14.0948,0.380117,1.06938,0.223232,15.8477,15.7676
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,19,14.2362,0.381264,1.06564,0.221184,15.9829,15.9043
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,20,14.1544,0.380822,1.06148,0.222208,15.8972,15.8189
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,21,14.1442,0.38803,1.0617,0.224256,15.9002,15.8182
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,22,14.3034,0.388621,1.11103,0.22528,16.1187,16.0283
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,23,13.9273,0.392792,1.0645,0.224256,15.6883,15.6088
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,24,14.0562,0.382243,1.14243,0.222208,15.8915,15.8031
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,25,14.0181,0.380439,1.06663,0.224256,15.7733,15.6895
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,26,14.2657,0.381109,1.06416,0.222208,16.0266,15.9332
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,27,14.1115,0.412996,1.06371,0.227328,15.8957,15.8156
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,28,13.9663,0.381588,1.06379,0.223232,15.7166,15.6349
3,double,uniform,CPU,"N | N | N | N | N | N",1,161,29,14.0679,0.382866,1.06451,0.222208,15.8185,15.7375
