dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,0,63.7048,1020.71,6.14231,2.49139,1093.2,1093.05
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,1,63.8859,1023.61,6.12938,1.80326,1095.53,1095.43
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,2,63.6819,1025.22,6.12309,1.80326,1096.94,1096.83
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,3,62.9647,1019.15,6.14762,1.90362,1090.19,1090.17
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,4,63.5258,1021.38,6.12529,1.80634,1092.94,1092.84
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,5,63.9047,1023.73,6.12022,1.81658,1095.69,1095.57
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,6,63.9356,1022.16,6.15309,1.80838,1094.16,1094.05
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,7,63.786,1020.95,6.11011,1.80736,1092.75,1092.65
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,8,63.6436,1029.16,6.10306,1.80326,1100.81,1100.71
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,9,63.5291,1020.51,6.1384,1.80224,1092.08,1091.98
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,10,63.7804,1026.42,6.08882,1.80838,1098.2,1098.1
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,11,63.6222,1024.95,6.13595,1.80838,1096.62,1096.52
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,12,63.6999,1020.73,6.14933,1.80941,1092.51,1092.39
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,13,64.1739,1026.56,6.16411,1.8135,1098.82,1098.71
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,14,63.615,1022.83,6.12881,1.81862,1094.5,1094.39
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,15,63.7052,1022.68,6.09663,1.80838,1094.39,1094.29
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,16,63.6292,1025.93,6.1612,1.81043,1097.64,1097.53
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,17,63.0575,1021.68,6.10504,1.80838,1092.76,1092.65
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,18,62.7387,1017.62,6.15962,1.89952,1088.47,1088.42
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,19,63.4463,1024.82,6.12072,1.80429,1096.3,1096.19
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,20,63.1925,1019.7,6.09872,1.80736,1090.9,1090.8
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,21,63.004,1018.24,6.12519,1.80531,1089.28,1089.17
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,22,63.5347,1023.29,6.13641,1.80736,1094.87,1094.77
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,23,63.7923,1022.7,6.14075,1.80838,1094.55,1094.44
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,24,63.413,1021.55,6.11233,1.80634,1092.98,1092.88
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,25,63.8217,1027.96,6.08966,1.80736,1099.77,1099.67
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,26,63.8853,1025.26,6.09166,1.80941,1097.15,1097.05
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,27,62.9099,1021.57,6.12099,1.80531,1092.5,1092.4
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,28,63.5449,1025.74,6.11096,1.8176,1097.32,1097.21
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,29,63.8544,1021.16,6.09447,1.81043,1093.01,1092.91
