dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,0,23.3199,315.995,2.4621,1.03523,343.066,342.812
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,1,21.7989,228.2,2.39472,0.662496,253.179,253.056
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,2,21.6305,223.541,2.39849,0.660448,248.35,248.231
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,3,21.8932,224.822,2.43121,0.672736,249.991,249.82
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,4,21.6357,221.602,2.32322,0.658496,246.337,246.219
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,5,21.8401,236.906,2.31379,0.664512,261.844,261.724
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,6,21.689,218.877,2.31269,0.659392,243.654,243.538
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,7,21.3419,213.104,2.31619,0.658336,236.592,237.421
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,8,21.9169,218.165,2.33996,0.680896,243.268,243.103
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,9,21.612,215.099,2.29141,0.660384,239.8,239.663
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,10,21.6,210.268,2.40734,0.66768,235.059,234.943
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,11,21.8144,214.804,2.30655,0.655328,239.704,239.58
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,12,21.4813,220.928,2.33839,0.657344,243.921,245.405
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,13,21.6138,210.882,2.30048,0.65936,235.588,235.456
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,14,21.5903,214.14,2.30524,0.654272,238.804,238.69
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,15,21.6527,210.866,2.33125,0.654272,235.62,235.504
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,16,21.6258,209.271,2.31237,0.66352,233.989,233.873
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,17,21.5662,215.536,2.30197,0.661408,240.188,240.066
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,18,21.6555,212.545,2.32477,0.654304,236.825,237.18
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,19,21.5769,214.958,2.3713,0.659456,239.683,239.566
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,20,21.818,213.219,2.32737,0.659424,238.146,238.023
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,21,21.4945,206.494,2.35103,0.682976,230.668,231.023
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,22,22.2754,213.088,2.39057,0.67984,238.567,238.434
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,23,21.8597,207.443,2.30377,0.655264,232.377,232.262
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,24,21.6133,210.502,2.29464,0.653248,234.398,235.063
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,25,21.4994,221.544,2.32707,0.677888,246.21,246.048
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,26,21.6039,210.491,2.41461,0.652256,234.787,235.162
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,27,21.6858,210.73,2.31617,0.660384,231.887,235.393
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,28,21.3809,233.158,2.3128,0.658368,256.21,257.51
3,double,uniform,CPU,"P | P | P | P | D | N",6,323,29,21.5612,217.98,2.2989,0.663488,242.615,242.503
