dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,0,67.4426,1259.15,6.60977,2.57939,1319.51,1335.79
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,1,67.5876,1175.74,6.565,1.8503,1239.46,1251.74
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,2,68.2002,1195.45,6.56647,1.85443,1248.04,1272.07
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,3,67.5211,1162.08,6.64399,1.88,1221.25,1238.12
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,4,67.1954,1159.01,6.58726,1.85139,1227.34,1234.65
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,5,68.6887,1134.24,6.56618,1.85139,1203.69,1211.35
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,6,67.3692,1163.12,6.58578,1.85232,1236.28,1238.92
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,7,68.147,1162.99,6.54171,1.85344,1231.25,1239.53
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,8,67.1225,1168.62,6.62013,1.87078,1228.41,1244.24
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,9,67.377,1179.45,6.58603,1.8575,1246.2,1255.27
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,10,68.201,1146.52,6.68342,1.87382,1223.44,1223.28
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,11,67.1225,1153.33,6.56445,1.84822,1205.42,1228.87
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,12,67.2033,1174.95,6.57546,1.84931,1234.59,1250.58
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,13,67.6065,1138.72,6.53987,1.85034,1212.76,1214.71
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,14,67.9111,1172.65,6.64751,1.85747,1249.21,1249.06
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,15,67.1519,1153.63,6.55995,1.85027,1225.3,1229.19
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,16,67.1732,1167.39,6.55981,1.85133,1234.07,1242.98
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,17,68.7188,1171.28,6.5434,1.85238,1239.4,1248.39
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,18,67.4926,1143.26,6.56425,1.85034,1213.71,1219.17
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,19,68.1809,1191.74,6.57426,1.84829,1257.76,1268.35
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,20,68.3138,1156.07,6.68849,1.85955,1233.09,1232.93
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,21,67.0882,1172.39,6.64373,1.87488,1244.37,1248
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,22,67.4498,1177.55,6.56335,1.86256,1250.89,1253.43
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,23,67.4005,1159.14,6.58036,1.85242,1230.89,1234.97
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,24,68.139,1141.68,6.6294,1.86464,1218.47,1218.31
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,25,67.6604,1145.63,6.54255,1.85347,1219.66,1221.68
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,26,68.3521,1159.05,6.64076,1.85958,1236.05,1235.9
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,27,68.0327,1184,6.63519,1.86058,1260.69,1260.53
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,28,67.7751,1150.75,6.61529,1.86362,1227.18,1227
3,double,uniform,CPU,"P | P | P | P | N | D",6,465,29,67.3173,1163.4,6.57417,1.85542,1226.59,1239.15
