dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,0,63.3655,1011.46,6.71873,2.29274,1083.99,1083.84
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,1,64.0092,1024.06,6.66634,1.90669,1096.74,1096.64
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,2,63.183,1017.69,6.66827,1.90157,1089.4,1089.45
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,3,63.9765,1022.89,6.77917,1.90976,1095.65,1095.55
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,4,63.5638,1019.14,6.91825,1.8944,1091.6,1091.52
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,5,64.9317,1023.52,6.86317,1.90874,1097.33,1097.22
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,6,62.6972,1018.84,6.77792,1.89952,1090.21,1090.21
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,7,63.5788,1020.86,6.66259,1.89952,1092.97,1093
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,8,64.1325,1025.42,6.76258,1.91488,1098.35,1098.23
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,9,64.1336,1013.75,6.93509,1.90874,1086.83,1086.72
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,10,63.9806,1022.83,6.88931,1.91488,1095.72,1095.62
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,11,63.7927,1017.91,6.87987,1.91283,1090.6,1090.5
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,12,63.512,1021.49,6.6937,1.89747,1093.57,1093.6
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,13,63.983,1019.99,6.7099,1.90669,1092.69,1092.59
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,14,63.9516,1014.71,6.9064,1.91898,1087.59,1087.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,15,63.5247,1020.76,6.84847,1.91283,1093.15,1093.05
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,16,63.6999,1020.67,6.90079,1.91078,1093.28,1093.18
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,17,63.8891,1020.49,6.94649,1.9128,1093.35,1093.24
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,18,63.4509,1015.66,6.73125,1.90259,1087.84,1087.74
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,19,63.5128,1022.57,6.94447,1.92512,1095.05,1094.95
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,20,63.6173,1020.47,6.9015,1.90976,1093,1092.9
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,21,63.8341,1021.08,6.82722,1.8985,1093.47,1093.64
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,22,63.6512,1016.17,6.77157,1.90874,1088.61,1088.5
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,23,63.1765,1015.97,6.72815,1.91898,1087.89,1087.79
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,24,63.503,1018.72,6.93779,1.90669,1091.17,1091.07
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,25,63.4636,1022.33,6.78125,1.90771,1094.58,1094.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,26,63.8789,1018.32,6.79532,1.91078,1091.01,1090.91
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,27,63.8415,1019.83,6.95711,1.91488,1092.64,1092.54
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,28,63.8452,1019.54,6.72556,1.90976,1092.12,1092.02
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,323,29,63.835,1019.68,6.7967,1.91078,1092.32,1092.23
