dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,0,17.253,12.036,1.07255,0.636928,30.973,30.9985
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,1,15.1132,2.67783,1.04466,0.456704,18.9745,19.2924
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,2,15.2971,2.70477,1.02073,0.45568,19.0631,19.4782
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,3,15.2451,2.68222,1.01237,0.456704,19.1946,19.3964
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,4,14.9555,2.76841,1.01854,0.453632,18.9723,19.1961
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,5,14.991,2.71692,1.02188,0.454656,18.9213,19.1845
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,6,15.2265,2.69367,1.01421,0.457728,19.0671,19.3921
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,7,15.098,2.67201,1.02327,0.45568,18.8431,19.249
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,8,15.2616,2.68187,1.02621,0.453632,18.8804,19.4233
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,9,15.1874,2.68293,1.06293,0.457728,19.0853,19.3909
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,10,15.08,2.67045,1.0181,0.45568,18.8514,19.2242
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,11,15.0884,2.75134,1.01659,0.45568,19.0423,19.312
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,12,15.1647,2.67858,1.02127,0.45568,19.0115,19.3202
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,13,15.1816,2.67309,1.0146,0.451584,18.9546,19.3209
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,14,15.1189,2.6913,1.02002,0.4608,18.8089,19.291
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,15,15.2557,2.67608,1.02232,0.45568,19.1786,19.4098
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,16,15.0748,2.67449,1.01954,0.453632,18.8699,19.2225
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,17,15.1136,2.68013,1.02612,0.463872,18.933,19.2837
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,18,15.2272,2.6824,1.02472,0.45568,19.0338,19.39
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,19,15.0458,2.83751,1.01663,0.456704,19.161,19.3567
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,20,15.134,2.67448,1.02486,0.454656,18.8889,19.288
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,21,15.1028,2.66719,1.01396,0.45568,18.8215,19.2396
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,22,15.0324,2.68566,1.01936,0.458752,18.9586,19.1962
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,23,15.2348,2.70352,1.01666,0.457728,18.9874,19.4127
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,24,15.1917,2.67822,1.02467,0.4608,19.0303,19.3554
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,25,15.0564,2.70012,1.01652,0.454656,18.9558,19.2277
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,26,15.2432,2.69317,1.01662,0.456704,19.0731,19.4097
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,27,14.9681,2.77696,1.01796,0.462848,19.0282,19.2258
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,28,15.0677,2.68222,1.02013,0.454656,19.059,19.2247
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",4,256,29,15.341,2.68431,1.01045,0.454656,19.1212,19.4904
