dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,0,25.5976,0,1016.83,1.2103,1034.73,1043.64
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,1,22.7991,0,845.702,0.734208,863.837,869.236
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,2,24.3746,0,831.4,0.721856,856.4,856.497
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,3,23.8495,0,812.085,0.727968,823.045,836.663
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,4,22.8154,0,886.385,0.740352,908.453,909.94
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,5,22.9362,0,880.523,0.728,903.877,904.187
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,6,23.9285,0,807.558,0.723904,830.663,832.211
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,7,24.0828,0,773.588,0.723904,798.495,798.395
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,8,24.4,0,767.481,0.726976,792.545,792.608
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,9,24.1063,0,763.277,0.737216,788.169,788.12
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,10,24.0416,0,767.238,0.717792,792.053,791.997
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,11,24.1681,0,753.318,0.726976,778.246,778.214
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,12,24.5699,0,810.866,0.722912,836.187,836.159
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,13,23.4097,0,821.377,0.709632,843.285,845.497
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,14,24.4118,0,766.271,0.723872,791.455,791.407
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,15,22.7198,0,768.162,0.73728,791.09,791.619
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,16,22.8705,0,778.704,0.736192,800.848,802.31
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,17,22.7308,0,774.223,0.718816,793.667,797.673
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,18,24.032,0,815.504,0.720832,840.319,840.257
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,19,24.3276,0,799.943,0.717728,824.941,824.989
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,20,23.6844,0,785.503,0.74032,806.6,809.927
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,21,24.4957,0,864.935,0.761792,890.356,890.192
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,22,23.4663,0,757.463,0.729056,781.161,781.658
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,23,22.7061,0,756.688,0.724928,776.979,780.119
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,24,22.7054,0,743.791,0.725952,762.421,767.222
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,25,22.6283,0,749.596,0.723968,767.429,772.949
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,26,22.883,0,748.513,0.727008,771.16,772.123
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,27,22.8757,0,752.411,0.724992,774.168,776.011
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,28,22.644,0,767.667,0.713728,784.3,791.025
3,double,uniform,CPU,"P | P | P | P | P | P",8,369,29,22.7084,0,755.566,0.730112,774.655,779.004
