dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,0,0.75504,158.242,0.622304,0.329728,160.813,159.949
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,1,0.168064,68.5649,0.621859,0.100352,69.9284,69.4551
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,2,0.165696,64.3082,0.609395,0.108512,65.6638,65.1918
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,3,0.170592,72.2279,0.617426,0.10032,73.5834,73.1162
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,4,0.164448,69.5398,0.616685,0.10032,70.8929,70.4213
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,5,0.163424,73.3498,0.613551,0.100352,74.7668,74.2271
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,6,0.16256,70.5493,0.617039,0.1024,71.9016,71.4313
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,7,0.173216,71.259,0.615342,0.102368,72.612,72.15
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,8,0.162784,72.8937,0.615144,0.101376,74.246,73.773
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,9,0.16768,75.1317,0.620017,0.100352,76.4886,76.0198
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,10,0.167168,66.8364,0.62093,0.101344,68.1968,67.7259
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,11,0.170816,67.103,0.617029,0.102432,68.5328,67.9933
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,12,0.166592,72.0966,0.619982,0.101344,73.5315,72.9845
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,13,0.162752,64.7555,0.614672,0.100384,66.1111,65.6333
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,14,0.162528,68.5282,0.616729,0.10032,69.875,69.4078
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,15,0.163488,60.8182,0.611567,0.101376,62.1632,61.6947
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,16,0.16384,67.4891,0.613436,0.101344,68.8998,68.3677
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,17,0.164576,65.8161,0.619321,0.100352,67.166,66.7004
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,18,0.165184,68.6067,0.614281,0.098304,69.9504,69.4845
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,19,0.163008,62.4153,0.614904,0.101376,63.7724,63.2946
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,20,0.165664,69.3859,0.616917,0.099328,70.7924,70.2678
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,21,0.164128,68.0219,0.624041,0.100352,69.3786,68.9105
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,22,0.16736,68.1807,0.622445,0.1024,69.6041,69.0729
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,23,0.16352,67.4836,0.615935,0.099296,68.9067,68.3623
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,24,0.16592,61.3057,0.618131,0.100384,62.6593,62.1902
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,25,0.163392,66.431,0.612975,0.098304,67.7728,67.3056
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,26,0.161984,72.6662,0.617864,0.104448,74.0304,73.5505
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,27,0.164256,69.8212,0.614185,0.101408,71.1664,70.701
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,28,0.163328,67.7195,0.617245,0.099296,69.0658,68.5994
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,323,29,0.164448,67.6817,0.616572,0.100352,69.1012,68.5631
