dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,0,0.7568,189.665,0.77511,0.55808,192.759,191.755
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,1,0.166816,133.209,0.775157,0.255008,135.044,134.406
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,2,0.16416,119.769,0.762814,0.277472,121.555,120.974
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,3,0.167296,128.085,0.768988,0.251872,129.908,129.273
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,4,0.16544,129.505,0.77067,0.25184,131.347,130.693
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,5,0.164032,127.062,0.765702,0.253888,128.894,128.246
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,6,0.165952,138.54,0.774816,0.245728,140.302,139.727
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,7,0.16512,124.007,0.783441,0.251904,125.794,125.207
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,8,0.171072,136.062,0.773618,0.259072,137.951,137.266
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,9,0.165024,136.188,0.769672,0.25088,138.019,137.373
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,10,0.16576,134.143,0.773454,0.250816,135.986,135.333
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,11,0.165024,115.3,0.768926,0.248768,117.064,116.483
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,12,0.163616,124.056,0.765026,0.258016,125.826,125.242
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,13,0.16576,134.179,0.769808,0.250816,136.014,135.366
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,14,0.162528,123.857,0.772754,0.254912,125.7,125.048
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,15,0.170464,128.481,0.766026,0.251904,130.243,129.67
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,16,0.165184,122.022,0.770153,0.248768,123.79,123.206
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,17,0.16656,130.79,0.775223,0.250912,132.632,131.983
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,18,0.164512,132.702,0.786338,0.253952,134.559,133.907
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,19,0.164192,128.626,0.784695,0.2488,130.465,129.824
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,20,0.16496,132.676,0.775557,0.251936,134.439,133.868
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,21,0.17008,135.134,0.778488,0.272416,136.947,136.355
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,22,0.165632,132.089,0.778123,0.25184,133.955,133.284
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,23,0.167552,131.129,0.780254,0.250816,132.923,132.328
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,24,0.164096,126.102,0.773927,0.251904,127.934,127.292
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,25,0.161152,132.478,0.773351,0.246816,134.306,133.659
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,26,0.164672,126.715,0.775806,0.25392,128.552,127.91
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,27,0.16336,133.009,0.766077,0.25088,134.825,134.189
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,28,0.164736,123.661,0.779134,0.249792,125.44,124.854
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,323,29,0.1664,125.969,0.775326,0.25392,127.75,127.165
