dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,0,0.4824,0,1834.16,0.809984,1835.57,1835.45
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,1,0.40944,0,1599.05,0.495616,1600.04,1599.96
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,2,0.414016,0,1599.97,0.50176,1600.98,1600.88
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,3,0.412352,0,1596.4,0.49664,1597.39,1597.31
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,4,0.41168,0,1598.15,0.499712,1599.15,1599.06
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,5,0.425024,0,1598.34,0.499712,1599.34,1599.26
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,6,0.414784,0,1599.55,0.498688,1600.55,1600.47
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,7,0.41232,0,1599.5,0.49664,1600.49,1600.41
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,8,0.416288,0,1600.82,0.499712,1601.83,1601.74
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,9,0.409824,0,1599.36,0.493568,1600.35,1600.27
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,10,0.416736,0,1600.45,0.488448,1601.43,1601.35
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,11,0.414976,0,1598.31,0.495616,1599.3,1599.22
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,12,0.4168,0,1599.49,0.497664,1600.55,1600.41
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,13,0.412736,0,1598.05,0.497664,1599.04,1598.96
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,14,0.411808,0,1598.79,0.493568,1599.82,1599.7
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,15,0.415392,0,1597.17,0.495616,1598.16,1598.08
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,16,0.413088,0,1598.71,0.495616,1599.71,1599.62
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,17,0.41872,0,1598.74,0.497664,1599.75,1599.66
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,18,0.41328,0,1599.6,0.497664,1600.66,1600.51
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,19,0.409504,0,1597.53,0.49664,1598.52,1598.44
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,20,0.4112,0,1598.42,0.498688,1599.45,1599.33
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,21,0.409728,0,1599.7,0.49664,1600.69,1600.61
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,22,0.41504,0,1599.35,0.498688,1600.36,1600.27
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,23,0.412928,0,1599.05,0.49664,1600.04,1599.96
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,24,0.416064,0,1598.48,0.494592,1599.47,1599.39
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,25,0.410816,0,1599.43,0.493568,1600.41,1600.33
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,26,0.411072,0,1599.22,0.495616,1600.21,1600.13
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,27,0.412864,0,1598.04,0.50176,1599.03,1598.95
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,28,0.416384,0,1598.65,0.494592,1599.66,1599.56
3,float,uniform,GPU,"D | D | D | D | D | D",2,323,29,0.409088,0,1598.39,0.495616,1599.38,1599.3
