dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,0,0.509184,264.486,3.85285,1.15197,270.162,270
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,1,0.45856,242.112,3.80989,0.485344,246.97,246.866
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,2,0.458592,242.876,3.82536,0.488448,247.754,247.649
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,3,0.456416,241.777,3.82392,0.489472,246.646,246.547
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,4,0.460384,237.678,3.82394,0.484288,242.554,242.446
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,5,0.456288,240.545,3.82521,0.488384,245.414,245.315
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,6,0.455808,240.678,3.82143,0.48432,245.54,245.44
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,7,0.458176,232.496,3.82361,0.487392,237.366,237.265
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,8,0.457376,242.371,3.83053,0.487392,247.247,247.146
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,9,0.457824,234.049,3.8232,0.4864,238.918,238.816
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,10,0.459424,250.846,3.82164,0.481216,255.715,255.608
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,11,0.4528,238.692,3.81247,0.4864,243.55,243.444
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,12,0.454592,240.547,3.82021,0.486368,245.395,245.308
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,13,0.45696,240.744,3.81568,0.488416,245.608,245.505
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,14,0.457248,238.526,3.82171,0.486336,243.392,243.291
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,15,0.45584,234.56,3.82815,0.488384,239.435,239.332
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,16,0.46112,259.408,3.82647,0.485312,264.286,264.181
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,17,0.462528,255.917,3.8254,0.490496,260.796,260.695
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,18,0.457312,245.11,3.82444,0.487392,249.983,249.879
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,19,0.46064,238.532,3.8296,0.489408,243.416,243.311
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,20,0.461952,237.667,3.82831,0.487424,242.553,242.444
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,21,0.462592,243.883,3.82029,0.490464,248.761,248.657
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,22,0.457056,251.131,3.81684,0.487424,255.992,255.892
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,23,0.460608,249.789,3.82274,0.492512,254.67,254.564
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,24,0.459136,239.434,3.84069,0.48736,244.336,244.221
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,25,0.467392,238.242,3.82549,0.49152,243.128,243.026
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,26,0.458496,237.954,3.82984,0.49152,242.834,242.733
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,27,0.460672,238.743,3.8254,0.492544,243.625,243.522
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,28,0.4584,239.133,3.82909,0.49248,244.018,243.913
3,float,uniform,GPU,"D | D | D | D | N | D",4,406,29,0.457888,233.947,3.83174,0.48944,238.831,238.726
