dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,0,0.472256,277.979,2.78542,1.12227,282.517,282.359
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,1,0.430816,263.999,2.76981,0.502752,267.804,267.702
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,2,0.465504,263.554,2.7529,0.500704,267.379,267.273
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,3,0.427392,286.551,2.76364,0.4976,290.346,290.24
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,4,0.432896,262.439,2.74337,0.498688,266.219,266.114
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,5,0.427456,262.696,2.75181,0.49872,266.479,266.374
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,6,0.425888,260.172,2.7511,0.49968,263.953,263.848
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,7,0.42688,263.092,2.74071,0.499648,266.861,266.759
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,8,0.427488,258.802,2.77098,0.500704,262.613,262.502
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,9,0.430272,260.148,2.7583,0.50272,263.946,263.839
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,10,0.442656,265.568,2.76717,0.509888,269.395,269.287
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,11,0.428192,261.189,2.80589,0.506848,265.033,264.93
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,12,0.427264,263.899,2.75102,0.501696,267.681,267.579
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,13,0.430368,264.329,2.75567,0.50176,268.121,268.016
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,14,0.432256,301.84,2.76999,0.502752,305.652,305.545
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,15,0.430816,268.123,2.77051,0.504768,271.933,271.83
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,16,0.42992,263.616,2.77453,0.501728,267.428,267.322
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,17,0.428352,284.789,2.76748,0.499648,288.592,288.484
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,18,0.429568,274.98,2.743,0.498688,278.76,278.651
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,19,0.429984,257.145,2.76471,0.500736,260.953,260.841
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,20,0.427168,263.076,2.74866,0.50272,266.902,266.755
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,21,0.43536,277.507,2.84745,0.521184,281.421,281.311
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,22,0.429408,268.152,2.76487,0.500672,271.953,271.847
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,23,0.432,269.786,2.76895,0.507872,273.6,273.495
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,24,0.428224,264.22,2.74926,0.497632,268.009,267.895
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,25,0.429248,260.445,2.76516,0.496608,264.239,264.136
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,26,0.429152,265.138,2.74733,0.500672,268.921,268.815
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,27,0.430144,263.841,2.76412,0.503744,267.641,267.539
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,28,0.4272,258.19,2.75155,0.498624,261.972,261.868
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,29,0.425984,456.41,2.74915,0.496576,460.189,460.082
