dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,0,0.401888,1.04144,1.7215,1.44998,4.75056,4.61482
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,1,0.365888,1.02638,1.6739,0.978944,4.18733,4.04512
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,2,0.357472,1.02589,1.64822,0.975872,4.15893,4.00746
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,3,0.367104,1.02598,1.64941,0.98304,4.18203,4.02553
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,4,0.364352,1.02452,1.65359,0.969728,4.15443,4.01219
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,5,0.364352,1.02742,1.65016,0.973824,4.15697,4.01576
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,6,0.366496,1.02319,1.65207,0.973824,4.1552,4.01558
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,7,0.367008,1.02494,1.65063,0.979968,4.16278,4.02254
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,8,0.36528,1.02832,1.64751,0.978944,4.16208,4.02005
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,9,0.364352,1.02498,1.65401,0.969728,4.15288,4.01307
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,10,0.3656,1.02305,1.65643,0.98304,4.16716,4.02812
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,11,0.366336,1.02522,1.65683,0.97792,4.17187,4.0263
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,12,0.365024,1.02283,1.65714,0.98304,4.16687,4.02803
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,13,0.359008,1.02841,1.651,0.976896,4.15919,4.01531
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,14,0.370432,1.02555,1.65237,0.978944,4.16707,4.0273
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,15,0.358528,1.02603,1.64602,0.982016,4.15839,4.01259
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,16,0.365952,1.02683,1.64666,0.979968,4.162,4.01941
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,17,0.358016,1.0231,1.65142,0.9728,4.14498,4.00533
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,18,0.3592,1.02611,1.65779,0.97792,4.16324,4.02102
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,19,0.364768,1.0231,1.66148,0.975872,4.16866,4.02523
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,20,0.365472,1.02561,1.65146,0.982016,4.17895,4.02456
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,21,0.36496,1.02216,1.6497,0.976896,4.16739,4.01372
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,22,0.365472,1.03185,1.65303,0.97792,4.21447,4.02827
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,23,0.365216,1.0254,1.65137,0.98304,4.16854,4.02503
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,24,0.363072,1.02911,1.64818,0.977888,4.16069,4.01824
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,25,0.364256,1.02701,1.64708,0.976896,4.15806,4.01524
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,26,0.36656,1.02639,1.643,0.980992,4.16425,4.01695
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,27,0.362816,1.02609,1.6514,0.980992,4.16532,4.02129
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,28,0.358368,1.024,1.64791,0.97792,4.14991,4.00819
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",1,256,29,0.35888,1.02153,1.6491,0.994304,4.15803,4.02382
