dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,0,0.389888,0,2386.81,0.797696,2388.13,2388
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,1,0.363232,0,1538.54,0.513024,1539.55,1539.41
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,2,0.361696,0,1538.23,0.507904,1539.23,1539.1
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,3,0.36384,0,1537.62,0.508928,1538.63,1538.5
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,4,0.363904,0,1538.1,0.518144,1539.12,1538.98
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,5,0.361312,0,1537.49,0.510976,1538.5,1538.36
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,6,0.3632,0,1538.63,0.507904,1539.64,1539.51
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,7,0.366432,0,1538.8,0.510976,1539.82,1539.68
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,8,0.360832,0,1539.2,0.509952,1540.2,1540.07
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,9,0.361344,0,1538.9,0.508928,1539.9,1539.77
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,10,0.361568,0,1538.37,0.514048,1539.37,1539.24
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,11,0.363584,0,1538.87,0.510976,1539.89,1539.74
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,12,0.366496,0,1539.4,0.512,1540.42,1540.28
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,13,0.360832,0,1536.85,0.51712,1537.85,1537.72
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,14,0.362112,0,1537.09,0.510976,1538.09,1537.96
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,15,0.364512,0,1536.58,0.519168,1537.59,1537.46
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,16,0.359616,0,1536.9,0.507904,1537.89,1537.76
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,17,0.362784,0,1536.6,0.508928,1537.61,1537.48
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,18,0.366528,0,1538.88,0.52224,1539.91,1539.77
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,19,0.360032,0,1538.83,0.509952,1539.83,1539.7
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,20,0.362336,0,1538.86,0.508928,1539.87,1539.74
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,21,0.361248,0,1539.87,0.508928,1540.87,1540.74
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,22,0.367712,0,1539.56,0.513024,1540.58,1540.45
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,23,0.365984,0,1539.87,0.514048,1540.88,1540.75
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,24,0.36416,0,1539.1,0.515072,1540.11,1539.98
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,25,0.364256,0,1538.61,0.510976,1539.61,1539.48
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,26,0.362752,0,1538.67,0.505856,1539.67,1539.54
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,27,0.359456,0,1538.61,0.510976,1539.61,1539.48
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,28,0.36368,0,1538.05,0.513024,1539.06,1538.93
3,float,uniform,GPU,"N | N | N | N | N | N",1,256,29,0.362464,0,1537.63,0.512,1538.63,1538.5
