dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,0.499008,0,2228.83,1.01376,2229.55,2230.34
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,0.41632,0,1850.61,0.490496,1824.69,1851.52
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,0.439584,0,1723.36,0.514048,1724.44,1724.31
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,0.429056,0,1719.72,0.504832,1720.76,1720.66
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,0.416864,0,1713.16,0.504832,1714.17,1714.08
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,0.424064,0,1720.38,0.480256,1720.38,1721.28
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,0.416544,0,1706.46,0.492512,1707.46,1707.37
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,0.42288,0,1710.15,0.505856,1711.19,1711.08
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,0.418112,0,1843.83,0.48128,1818.4,1844.73
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,0.41728,0,1833.35,0.483328,1810.64,1834.25
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,0.42592,0,1709.13,0.491552,1710.13,1710.04
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,0.424896,0,1702.24,0.500736,1703.28,1703.17
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,0.411584,0,1703.48,0.478208,1704.36,1704.37
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,0.412032,0,1700.93,0.48128,1701.8,1701.82
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,0.412736,0,1705.56,0.483328,1706.2,1706.46
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,0.413792,0,1710.93,0.490496,1711.93,1711.84
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,0.42432,0,1708.27,0.501824,1709.33,1709.2
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,0.413632,0,1713.29,0.49152,1714.29,1714.19
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,0.414752,0,1710.5,0.49152,1711.5,1711.41
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,0.41856,0,1846.77,0.48128,1824.58,1847.67
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,0.4264,0,1844.04,0.499712,1816.58,1844.97
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,0.411328,0,1716.57,0.485376,1717.46,1717.46
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,0.417696,0,1719.07,0.492608,1720.07,1719.98
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,0.42448,0,1714.59,0.493504,1715.6,1715.51
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,0.41824,0,1853.2,0.48128,1825.25,1854.1
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,0.414912,0,1850.24,0.482304,1825.42,1851.14
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,0.411584,0,1715.12,0.490496,1716.11,1716.02
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,0.414048,0,1710.93,0.488352,1711.92,1711.83
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,0.425632,0,1715.57,0.49664,1716.61,1716.5
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,0.412992,0,1718.15,0.482304,1718.98,1719.05
