dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,0,0.542816,9.94412,0.690417,0.858112,12.1886,12.0355
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,1,0.158048,2.6329,0.677303,0.292864,3.84596,3.76112
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,2,0.156352,2.63449,0.648137,0.294912,3.82884,3.73389
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,3,0.155968,2.63182,0.655923,0.29696,3.83413,3.74067
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,4,0.160544,2.63393,0.656151,0.295936,3.83466,3.74656
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,5,0.159968,2.64067,0.6551,0.292864,3.83809,3.7486
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,6,0.158688,2.73711,0.651838,0.29696,3.935,3.8446
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,7,0.15792,2.635,0.656486,0.290816,3.83046,3.74022
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,8,0.157728,2.62188,0.661411,0.294912,3.82526,3.73593
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,9,0.16176,2.6369,0.659237,0.297984,3.85088,3.75588
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,10,0.155712,2.64285,0.650642,0.300032,3.83882,3.74924
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,11,0.154528,2.63184,0.653002,0.297984,3.82793,3.73735
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,12,0.157728,2.61722,0.666898,0.301056,3.83259,3.7429
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,13,0.155744,2.63473,0.653069,0.299008,3.83431,3.74255
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,14,0.155872,2.63026,0.651716,0.292896,3.81805,3.73074
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,15,0.157856,2.6284,0.655606,0.293888,3.82387,3.73575
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,16,0.157952,2.64135,0.655701,0.295936,3.83811,3.75094
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,17,0.157472,2.62592,0.654496,0.292864,3.81977,3.73075
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,18,0.157568,2.62469,0.662558,0.294912,3.82306,3.73973
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,19,0.15552,2.62482,0.697511,0.289792,3.8543,3.76764
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,20,0.157568,2.63345,0.655369,0.29184,3.82568,3.73823
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,21,0.155744,2.63022,0.657053,0.290816,3.82407,3.73384
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,22,0.159008,2.63109,0.664089,0.29184,3.87381,3.74603
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,23,0.160256,2.62941,0.652046,0.29696,3.82986,3.73867
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,24,0.157568,2.64129,0.654057,0.294912,3.8404,3.74783
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,25,0.157056,2.62418,0.677775,0.293888,3.82598,3.7529
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,26,0.15664,2.67076,0.656126,0.29696,3.87729,3.78048
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,27,0.15696,2.64107,0.656812,0.29696,3.84199,3.7518
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,28,0.169344,2.62893,0.660724,0.290816,3.83281,3.74981
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,203,29,0.157696,2.6206,0.65756,0.292864,3.81702,3.72872
