dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,0,0.4944,564.675,3.17477,1.75411,567.917,570.098
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,1,0.463392,527.977,3.12912,1.09363,529.445,532.664
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,2,0.460256,532.699,3.14783,1.10285,535.119,537.41
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,3,0.468608,517.6,3.13524,1.09978,519.58,522.304
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,4,0.457216,548.995,3.12007,0.998304,529.987,553.571
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,5,0.459072,568.696,3.11953,1.00451,561.626,573.279
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,6,0.45952,544.621,3.12641,1.00656,537.358,549.214
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,7,0.460416,524.792,3.11637,0.999328,523.836,529.368
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,8,0.47184,518.344,3.116,0.998304,518.248,522.93
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,9,0.460736,535.439,3.12539,0.99936,540.157,540.024
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,10,0.470176,510.349,3.11552,0.998336,514.982,514.933
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,11,0.45488,511.695,3.22098,1.02291,515.905,516.394
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,12,0.4576,512.306,3.12239,0.99728,515.738,516.883
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,13,0.459008,509.304,3.12896,0.998368,512.965,513.89
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,14,0.456448,518.251,3.11228,0.999392,521.405,522.819
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,15,0.461888,506.758,3.11746,0.998304,509.718,511.336
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,16,0.470912,520.495,3.17546,1.02298,523.421,525.164
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,17,0.45968,514.872,3.13921,1.00243,518.283,519.473
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,18,0.453088,521.088,3.11318,1.00042,524.969,525.655
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,19,0.459584,523.404,3.10823,1.00243,527.824,527.974
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,20,0.458368,520.187,3.12833,1.00042,523.896,524.774
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,21,0.457856,512.53,3.12393,0.999392,515.59,517.111
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,22,0.457888,520.203,3.13555,0.996256,521.396,524.792
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,23,0.457792,508.774,3.11889,1.00042,512.095,513.351
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,24,0.459264,549.531,3.11169,1.00042,554.026,554.103
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,25,0.462368,532.161,3.15149,1.00243,536.912,536.778
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,26,0.456608,518.725,3.13097,0.998304,521.278,523.311
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,27,0.460896,499.38,3.12533,1.0065,502.161,503.973
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,28,0.46928,502.905,3.12384,1.00243,506.401,507.5
3,float,uniform,GPU,"P | P | P | P | D | N",4,406,29,0.452384,514.089,3.1191,1.00243,517.083,518.663
