dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,0,0.809888,261.997,1.55466,0.910368,265.432,265.272
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,1,0.207744,181.82,1.5353,0.416704,184.086,183.98
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,2,0.205824,195.414,1.53248,0.417696,197.674,197.57
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,3,0.212288,184.933,1.4089,0.411648,187.033,186.966
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,4,0.209952,188.892,1.42677,0.407552,183.627,190.937
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,5,0.2016,203.298,1.40897,0.409568,201.6,205.318
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,6,0.208928,183.271,1.4065,0.412672,178.693,185.299
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,7,0.211872,187.263,1.4101,0.416768,188.422,189.302
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,8,0.210592,177.571,1.43954,0.449536,178.751,179.67
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,9,0.206176,179.691,1.40981,0.408512,180.922,181.716
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,10,0.20112,174.569,1.40913,0.40752,176.247,176.587
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,11,0.205088,177.884,1.41339,0.411552,178.265,179.914
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,12,0.213952,175.388,1.41203,0.412672,177.504,177.427
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,13,0.21664,179.599,1.42215,0.411648,181.683,181.649
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,14,0.205632,177.791,1.43004,0.417728,177.808,179.844
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,15,0.227072,178.769,1.56463,0.418752,181.087,180.979
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,16,0.207008,179.763,1.40734,0.4096,177.637,181.787
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,17,0.208992,178.801,1.42573,0.413696,179.068,180.85
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,18,0.211168,177.961,1.40513,0.421888,177.557,179.999
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,19,0.21136,179.211,1.40102,0.410624,180.561,181.234
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,20,0.22192,177.267,1.42373,0.415744,177.447,179.328
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,21,0.214304,176.16,1.40993,0.417792,177.492,178.202
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,22,0.210944,184.08,1.41005,0.409504,176.175,186.11
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,23,0.20384,189.066,1.42916,0.416672,191.123,191.116
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,24,0.212896,175.735,1.40585,0.407552,176.833,177.761
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,25,0.214944,179.335,1.43233,0.412672,173.451,181.395
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,26,0.213696,176.844,1.40927,0.413696,176.509,178.881
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,27,0.215648,186.34,1.42093,0.413696,188.183,188.39
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,28,0.205184,182.187,1.41194,0.4096,178.627,184.213
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,29,0.207104,177.3,1.41079,0.411648,178.202,179.329
