dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,0,0.495776,585.469,3.14995,1.71418,588.612,590.829
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,1,0.460352,599.608,3.11051,1.09875,602.638,604.278
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,2,0.46064,577.474,3.08799,1.1049,579.21,582.128
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,3,0.45824,555.84,3.10274,1.09875,557.535,560.5
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,4,0.459136,536.408,3.08856,1.09466,537.961,541.051
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,5,0.459744,531.05,3.10544,1.09363,533.323,535.709
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,6,0.462336,534.704,3.13936,1.11002,537.793,539.416
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,7,0.4584,514.366,3.09241,1.09978,517.983,519.017
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,8,0.458528,504.481,3.08967,1.00138,507.963,509.03
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,9,0.459168,507.01,3.09862,1.1008,509.243,511.668
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,10,0.457632,508.188,3.08308,0.99936,512.419,512.728
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,11,0.469536,508.25,3.09206,1.00246,512.97,512.814
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,12,0.459168,519.458,3.1371,1.01366,523.17,524.068
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,13,0.455776,522.928,3.10767,0.999328,527.626,527.491
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,14,0.456672,512.06,3.07617,1.00042,515.267,516.593
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,15,0.456576,519.12,3.08125,0.997312,523.538,523.656
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,16,0.472224,518.609,3.10291,1.00243,522.439,523.186
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,17,0.456832,504.675,3.12118,1.11002,509.523,509.363
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,18,0.458912,509.963,3.10048,1.00038,513.915,514.523
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,19,0.459328,532.805,3.07647,1.00138,536.412,537.342
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,20,0.460128,506.329,3.08106,1.00141,510.567,510.872
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,21,0.455168,512.655,3.07962,1.00758,516.039,517.197
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,22,0.457312,512.818,3.07288,1.00038,516.035,517.349
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,23,0.45808,513.466,3.09848,1.00138,516.191,518.023
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,24,0.4608,518.631,3.08283,1.00138,521.92,523.176
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,25,0.456608,502.256,3.09406,1.00038,505.874,506.807
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,26,0.460352,517.794,3.08717,1.00038,521.546,522.342
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,27,0.4648,522.299,3.08026,0.999328,526.156,526.844
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,28,0.45712,578.592,3.07869,0.99728,576.577,583.125
3,float,uniform,GPU,"P | P | P | P | N | D",4,406,29,0.459136,549.242,3.07907,1.00243,546.795,553.782
