dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,0,0.790336,182.825,1.25386,0.732096,185.756,185.601
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,1,0.193344,109.639,1.24651,0.380928,111.45,111.459
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,2,0.1944,109.034,1.24344,0.375808,110.924,110.848
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,3,0.189696,115.309,1.26725,0.379904,117.241,117.146
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,4,0.189952,109.063,1.23554,0.377856,110.946,110.866
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,5,0.178304,108.266,1.23885,0.3696,110.166,110.053
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,6,0.19248,110.697,1.23461,0.376832,109.363,112.5
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,7,0.185088,113.21,1.21488,0.365472,109.517,114.975
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,8,0.192832,105.115,1.24585,0.374784,106.998,106.928
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,9,0.17968,106.873,1.24643,0.36752,108.788,108.666
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,10,0.179136,112.877,1.23865,0.367584,114.784,114.662
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,11,0.18768,113.271,1.23138,0.372736,114.947,115.062
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,12,0.21296,114.197,1.24849,0.37376,116.079,116.032
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,13,0.191552,125.875,1.23619,0.371712,127.107,127.675
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,14,0.188992,111.689,1.22422,0.376832,111.302,113.479
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,15,0.188128,116.763,1.23796,0.374784,115.007,118.564
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,16,0.19312,113.315,1.22201,0.366528,109.652,115.097
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,17,0.185408,118.786,1.23475,0.366528,120.679,120.573
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,18,0.181248,119.503,1.22742,0.370592,121.383,121.282
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,19,0.177088,109.456,1.22089,0.368576,111.325,111.223
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,20,0.179232,109.256,1.22181,0.36752,111.126,111.024
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,21,0.185472,111.175,1.22409,0.366496,107.636,112.951
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,22,0.191104,106.342,1.23997,0.372736,108.192,108.146
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,23,0.180224,110.116,1.22178,0.367552,111.988,111.886
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,24,0.189568,109.993,1.23247,0.375808,106.78,111.791
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,25,0.18384,110.112,1.22875,0.366528,103.32,111.891
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,26,0.18224,109.167,1.22772,0.366496,111.043,110.943
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,27,0.19536,105.975,1.23633,0.375808,107.273,107.782
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,28,0.181952,117.406,1.23124,0.367552,119.295,119.187
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",6,323,29,0.19248,108.968,1.2522,0.379904,110.831,110.792
