dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,0,0.492608,544.194,3.11902,1.78586,546.71,549.592
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,1,0.46032,511.166,3.08943,1.11821,513.076,515.834
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,2,0.45904,526.356,3.07995,1.10592,528.952,531.001
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,3,0.461824,552.993,3.08396,1.01168,537.32,557.551
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,4,0.470176,562.607,3.10018,1.01066,548.612,567.188
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,5,0.46288,544.858,3.08049,1.01162,535.898,549.413
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,6,0.458688,537.25,3.07329,1.01165,529.72,541.794
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,7,0.458816,530.817,3.07889,1.01059,527.885,535.366
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,8,0.45824,509.476,3.08653,1.01059,510.7,514.031
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,9,0.467136,523.234,3.08282,1.00653,527.483,527.791
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,10,0.45968,519.72,3.06772,1.01062,523.823,524.258
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,11,0.470528,517.454,3.09454,1.01578,521.115,522.035
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,12,0.458752,501.969,3.14892,1.01674,506.729,506.593
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,13,0.45984,510.905,3.08483,1.0055,514.653,515.456
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,14,0.458304,503.651,3.08573,1.00653,507.448,508.202
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,15,0.458336,529.609,3.09554,1.00957,534.239,534.173
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,16,0.470784,520.318,3.0695,1.00755,524.204,524.866
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,17,0.45888,517.429,3.16817,1.02294,522.211,522.079
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,18,0.460064,511.031,3.07981,1.0096,514.696,515.58
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,19,0.462112,511.74,3.08317,1.0065,515.542,516.292
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,20,0.460064,515.503,3.08222,1.00349,518.843,520.049
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,21,0.45792,522.6,3.08992,1.00547,526.682,527.154
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,22,0.458208,511.342,3.08599,1.00861,516.029,515.895
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,23,0.4576,516.765,3.09041,1.00861,520.404,521.322
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,24,0.459648,517.442,3.08622,1.00554,521.177,521.994
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,25,0.459392,508.927,3.09062,1.00858,512.278,513.486
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,26,0.460768,509.485,3.07408,1.00758,513.546,514.027
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,27,0.458624,509.43,3.09362,1.00758,514.127,513.99
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,28,0.457024,522.864,3.08901,1.00342,526.927,527.414
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,406,29,0.459232,505.513,3.0788,1.00755,508.646,510.058
