dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,0,0.394688,0,117.208,1.47149,119.206,119.074
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,1,0.363552,0,2.08148,0.985088,3.58865,3.43012
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,2,0.359168,0,2.06711,0.98304,3.54528,3.40932
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,3,0.362432,0,2.07368,0.992256,3.56638,3.42836
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,4,0.359712,0,2.07146,0.99328,3.56293,3.42445
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,5,0.364384,0,2.07436,0.99328,3.57282,3.43203
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,6,0.35888,0,2.07403,0.991232,3.5592,3.42414
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,7,0.362272,0,2.07089,0.99328,3.56234,3.42644
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,8,0.3648,0,2.07132,0.99328,3.56532,3.4294
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,9,0.363616,0,2.07318,0.994304,3.56644,3.4311
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,10,0.361248,0,2.07039,0.989184,3.55775,3.42082
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,11,0.362016,0,2.071,0.986112,3.55443,3.41913
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,12,0.362176,0,2.0718,0.989184,3.56379,3.42316
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,13,0.362048,0,2.07203,0.990208,3.55858,3.42428
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,14,0.362336,0,2.07402,0.985088,3.56017,3.42144
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,15,0.36208,0,2.07305,0.990208,3.5456,3.42534
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,16,0.36128,0,2.07071,0.996352,3.56381,3.42834
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,17,0.366464,0,2.07443,0.996352,3.58807,3.43725
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,18,0.36336,0,2.08265,0.99328,3.57551,3.43929
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,19,0.36208,0,2.07305,0.986112,3.55819,3.42124
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,20,0.361408,0,2.07089,0.985088,3.56185,3.41738
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,21,0.363072,0,2.07337,0.984064,3.56034,3.42051
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,22,0.363488,0,2.07516,0.990208,3.56854,3.42886
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,23,0.358688,0,2.06936,0.991232,3.55578,3.41928
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,24,0.361568,0,2.07474,0.98816,3.56569,3.42447
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,25,0.364544,0,2.07674,0.99328,3.60787,3.43456
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,26,0.362304,0,2.07127,0.99328,3.56488,3.42686
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,27,0.36336,0,2.08313,0.990208,3.57445,3.4367
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,28,0.362784,0,2.07534,0.994304,3.5663,3.43243
3,float,uniform,GPU,"P | P | P | P | P | P",1,256,29,0.358944,0,2.07575,0.986112,3.55688,3.42081
