dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,0,27.5564,0.743224,0.869206,0.474112,31.1044,29.643
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,1,27.5764,0.710073,0.849383,0.362496,30.7007,29.4984
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,2,27.5569,0.711494,0.831416,0.356352,30.6496,29.4562
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,3,27.8238,0.711818,0.811015,0.354304,30.8928,29.701
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,4,27.7405,0.719645,0.807399,0.367616,30.8129,29.6351
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,5,27.6463,0.710877,0.810656,0.355328,30.713,29.5231
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,6,27.4695,0.712559,0.810982,0.364544,30.529,29.3576
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,7,27.6716,0.719131,0.813934,0.357376,30.7585,29.562
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,8,27.7805,0.716027,0.81523,0.350208,30.882,29.662
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,9,27.7759,0.709396,0.816379,0.360448,30.8396,29.6621
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,10,27.401,0.712406,0.836762,0.360448,30.4712,29.3106
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,11,27.3755,0.709494,0.80961,0.354304,30.426,29.2489
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,12,27.4126,0.709686,0.811911,0.356352,30.451,29.2906
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,13,27.9741,0.71553,0.813033,0.349184,31.0612,29.8519
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,14,27.941,0.712516,0.86816,0.3584,31.0529,29.88
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,15,27.7632,0.714857,0.814863,0.357376,30.8447,29.6503
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,16,27.5574,0.707754,0.804595,0.360448,30.607,29.4302
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,17,27.6952,0.712185,0.814412,0.357376,30.782,29.5791
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,18,27.8246,0.709228,0.807056,0.350208,30.8738,29.6911
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,19,27.5542,0.710701,0.812938,0.357376,30.5981,29.4353
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,20,27.6763,0.708483,0.813295,0.357376,30.7291,29.5554
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,21,27.5031,0.70998,0.812083,0.357376,30.5853,29.3826
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,22,27.7045,0.716235,0.812379,0.359424,30.7598,29.5926
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,23,28.0545,0.71336,0.817954,0.359424,31.1469,29.9452
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,24,27.8617,0.770741,0.813196,0.360448,30.9833,29.8061
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,25,27.5452,0.712871,0.812029,0.357376,30.6283,29.4275
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,26,27.539,0.759351,0.806472,0.354304,30.6534,29.4591
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,27,27.669,0.709241,0.806278,0.360448,30.6991,29.545
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,28,27.5955,0.710853,0.811359,0.350208,30.637,29.4679
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,29,27.8108,0.709952,0.814504,0.357376,30.8876,29.6927
