dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,0,12.6458,295.873,0.935708,0.633856,308.652,310.088
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,1,11.5512,194.927,0.936431,0.328672,206.365,207.743
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,2,11.4926,193.474,0.907242,0.347136,205.638,206.221
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,3,11.5123,199.667,0.93003,0.357312,203.045,212.467
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,4,12.2405,190.603,0.925988,0.356352,204.742,204.126
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,5,12.1589,187.205,0.926147,0.33792,201.31,200.628
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,6,11.5219,194.135,0.927604,0.350208,200.318,206.935
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,7,11.4506,198.562,0.920286,0.339968,210.922,211.273
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,8,12.1873,190.456,0.931671,0.344064,204.557,203.919
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,9,11.4918,189.597,0.935418,0.336864,200.67,202.361
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,10,11.4838,192.118,0.92192,0.350208,198.421,204.874
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,11,11.6865,189.054,0.928852,0.349216,197.947,202.019
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,12,12.0938,192.888,0.925267,0.349152,206.944,206.256
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,13,11.4755,189.834,0.923562,0.3328,203.317,202.566
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,14,11.4076,188.899,0.928483,0.354272,200.064,201.59
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,15,11.4038,188.557,0.923217,0.326656,201.374,201.211
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,16,12.154,188.785,0.926964,0.32976,202.887,202.195
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,17,12.4462,195.233,0.999811,0.359392,208.58,209.038
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,18,12.1379,195.846,0.926882,0.350176,210,209.261
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,19,11.4965,193.22,0.925388,0.353248,205.073,205.995
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,20,11.5176,197.301,0.934998,0.338944,210.127,210.092
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,21,12.1403,188.59,0.926605,0.342016,202.71,201.999
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,22,11.4758,185.023,0.924717,0.329696,195.387,197.753
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,23,11.498,192.732,0.924131,0.330752,205.228,205.485
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,24,12.2979,189.712,0.922441,0.364512,203.984,203.297
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,25,11.4237,187.153,0.998602,0.33584,198.954,199.911
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,26,11.5728,188.144,0.92873,0.355296,197.628,201.001
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,27,12.1239,187.699,0.923002,0.340992,201.829,201.087
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,28,12.1475,216.795,0.928236,0.368672,230.978,230.24
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,369,29,11.4383,207.783,0.925323,0.330784,216.781,220.478
