dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,0,37.9196,0,7542.74,1.12742,7581.96,7581.78
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,1,37.4572,0,1756.24,0.484352,1794.29,1794.18
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,2,37.7915,0,1778.32,0.489472,1816.74,1816.61
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,3,37.5839,0,1733.89,0.483328,1772.05,1771.95
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,4,37.6423,0,1755.36,0.482272,1793.58,1793.48
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,5,37.7554,0,1756.24,0.489472,1794.61,1794.48
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,6,37.7818,0,1737.86,0.481344,1776.22,1776.12
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,7,38.0055,0,1734.29,0.479296,1772.87,1772.77
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,8,37.8575,0,1733.47,0.487392,1771.95,1771.82
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,9,37.7017,0,1736.1,0.488448,1774.39,1774.29
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,10,37.6615,0,1751.79,0.479232,1790.03,1789.93
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,11,38.445,0,1751.11,0.479232,1790.15,1790.04
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,12,37.5303,0,1741.5,0.489472,1779.63,1779.52
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,13,37.6027,0,1740.67,0.478208,1778.85,1778.75
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,14,37.7239,0,1747.43,0.47616,1785.72,1785.63
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,15,37.4796,0,1743.2,0.480256,1781.26,1781.16
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,16,37.5593,0,1741.49,0.480256,1779.63,1779.53
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,17,37.597,0,1743.18,0.480192,1781.35,1781.25
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,18,37.7595,0,1748.1,0.487424,1786.47,1786.34
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,19,37.5698,0,1739.71,0.477184,1777.85,1777.76
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,20,37.9079,0,1747.17,0.483328,1785.65,1785.56
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,21,37.4988,0,1741.21,0.479232,1779.29,1779.19
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,22,37.4943,0,1735.54,0.48128,1773.61,1773.51
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,23,37.595,0,1742.54,0.4864,1780.74,1780.62
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,24,37.5434,0,1741.76,0.484352,1779.89,1779.79
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,25,37.5267,0,1737.77,0.480256,1775.87,1775.78
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,26,37.3952,0,1739.23,0.479168,1777.2,1777.11
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,27,37.4925,0,1734.38,0.480256,1772.45,1772.35
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,28,37.7606,0,1733.17,0.478208,1771.51,1771.41
3,float,uniform,CPU,"D | D | D | D | D | D",6,465,29,37.6937,0,1741.8,0.479232,1780.08,1779.98
