dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,0,8.76893,11.8904,0.853695,0.273408,21.531,21.7865
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,1,7.83549,1.86785,0.898412,0.123904,10.6761,10.7257
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,2,7.73286,1.96439,0.838241,0.125952,10.5896,10.6614
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,3,7.57037,2.03115,0.834643,0.123904,10.5312,10.5601
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,4,7.7472,1.89125,0.843587,0.124928,10.5697,10.607
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,5,7.85446,1.93818,0.843195,0.125952,10.6505,10.7618
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,6,7.79373,1.87799,0.839078,0.126976,10.5358,10.6378
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,7,7.80029,1.89098,0.843966,0.125952,10.6272,10.6612
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,8,7.70899,1.95683,0.842878,0.126976,10.4678,10.6357
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,9,7.76813,1.89567,0.838947,0.12288,10.4474,10.6256
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,10,7.69942,1.91815,0.846262,0.128,10.4977,10.5918
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,11,7.8232,1.94108,0.840793,0.125952,10.6986,10.731
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,12,7.86339,1.93051,0.840508,0.124928,10.5812,10.7593
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,13,7.7607,1.89535,0.842861,0.124928,10.5103,10.6238
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,14,7.81888,1.86263,0.83962,0.125952,10.372,10.6471
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,15,7.92506,1.86775,0.840861,0.123904,10.5363,10.7576
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,16,7.88422,1.89964,0.842089,0.123904,10.7075,10.7499
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,17,7.73715,1.87255,0.84386,0.12288,10.4154,10.5764
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,18,7.83091,1.89828,0.844168,0.125952,10.5897,10.6993
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,19,7.81962,1.88211,0.840376,0.123904,10.5278,10.666
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,20,7.91898,1.87011,0.842373,0.12288,10.5462,10.7543
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,21,7.72051,1.86509,0.840916,0.123904,10.457,10.5504
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,22,7.752,1.8596,0.842057,0.123904,10.445,10.5776
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,23,7.74054,1.87504,0.842591,0.124928,10.6234,10.5831
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,24,7.78179,1.9014,0.844749,0.123904,10.6589,10.6518
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,25,7.71014,1.86094,0.838215,0.124928,10.4412,10.5342
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,26,7.66474,1.87116,0.838479,0.123904,10.3527,10.4983
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,27,7.69584,1.88996,0.840726,0.123904,10.3973,10.5504
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,28,7.84861,1.86163,0.841858,0.120832,10.5868,10.6729
3,float,uniform,CPU,"D | D | D | D | N | D",4,256,29,7.64013,1.87652,0.839088,0.124928,10.4047,10.4807
