dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,0,8.44861,8.07685,0.648009,0.274432,17.5693,17.4479
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,1,7.57533,0.941866,0.63415,0.145408,9.38435,9.29675
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,2,7.66227,0.937018,0.61203,0.144384,9.44084,9.3557
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,3,7.55875,0.93915,0.614831,0.147456,9.34635,9.26019
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,4,7.79376,0.939348,0.614655,0.142336,9.5762,9.4901
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,5,7.69219,0.936765,0.614063,0.144384,9.47579,9.3874
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,6,7.58627,0.941793,0.609352,0.145408,9.37097,9.28283
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,7,7.68333,0.96531,0.619824,0.146432,9.50101,9.41489
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,8,7.7391,0.961352,0.615285,0.14848,9.4482,9.46422
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,9,7.77232,0.950288,0.616493,0.14336,9.57406,9.48246
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,10,7.7295,0.936272,0.615028,0.146432,9.51197,9.42724
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,11,7.57862,0.938059,0.639661,0.14336,9.3185,9.2997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,12,7.64998,0.938834,0.618093,0.144384,9.44081,9.3513
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,13,7.54509,0.970259,0.612487,0.147456,9.41052,9.27529
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,14,7.57894,0.959154,0.616675,0.14848,9.38993,9.30325
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,15,7.64992,0.935001,0.61584,0.145408,9.43489,9.34617
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,16,7.74474,0.966525,0.613806,0.14336,9.52937,9.46843
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,17,7.69136,0.945096,0.615439,0.145408,9.4869,9.3973
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,18,7.68957,0.932796,0.612952,0.14336,9.46856,9.37868
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,19,7.64685,0.974688,0.609007,0.146432,9.4076,9.37697
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,20,7.57814,0.962281,0.61406,0.147456,9.38938,9.30194
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,21,7.59853,0.945879,0.617476,0.146432,9.39515,9.30831
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,22,7.71034,0.934227,0.615271,0.145408,9.49167,9.40524
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,23,7.55274,0.940574,0.614099,0.14336,9.3423,9.25077
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,24,7.62301,0.939109,0.612461,0.144384,9.40018,9.31896
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,25,7.52054,0.93618,0.612858,0.145408,9.31175,9.21499
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,26,7.52954,0.992258,0.615121,0.147456,9.37189,9.28437
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,27,7.61091,0.934435,0.61528,0.14336,9.39601,9.30399
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,28,7.57219,0.936836,0.61571,0.146432,9.40118,9.27117
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,29,7.66851,0.989716,0.617326,0.147456,9.51402,9.42301
