dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,0,37.5643,0,3904.4,1.01888,3932.43,3942.99
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,1,37.3131,0,1902.64,0.4608,1936.49,1940.41
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,2,37.3686,0,1890.11,0.459776,1923.12,1927.94
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,3,36.2979,0,1880.53,0.477184,1913.38,1917.31
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,4,36.2379,0,2026.61,0.461824,2032.9,2063.31
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,5,37.4253,0,2205.43,0.4608,2203.18,2243.31
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,6,36.6186,0,1872.55,0.468992,1907.1,1909.64
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,7,36.2571,0,2029.57,0.463872,2034.02,2066.29
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,8,36.3905,0,1866.31,0.458752,1898.95,1903.16
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,9,37.4824,0,1868.54,0.462848,1901.98,1906.49
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,10,36.3097,0,1868.45,0.464896,1902.13,1905.22
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,11,36.2979,0,1890.25,0.462848,1925.09,1927.01
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,12,36.308,0,2024.9,0.475136,2029.59,2061.69
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,13,36.3659,0,1900.3,0.459776,1934,1937.12
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,14,36.3292,0,1887.4,0.457728,1922.28,1924.19
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,15,36.2552,0,1883.73,0.458752,1917.77,1920.45
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,16,36.1477,0,1877.51,0.461824,1908.81,1914.11
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,17,36.1601,0,1874.31,0.458784,1906.28,1910.93
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,18,36.2167,0,1872.67,0.474112,1908.1,1909.36
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,19,36.2415,0,1869.11,0.458752,1902.3,1905.81
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,20,36.1566,0,1874.89,0.4608,1906.15,1911.5
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,21,36.2168,0,1872.18,0.463872,1906.47,1908.86
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,22,36.3091,0,1869.87,0.459776,1903.41,1906.64
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,23,36.3015,0,1870.65,0.478208,1904,1907.43
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,24,36.3309,0,1871.89,0.457728,1905.78,1908.68
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,25,36.388,0,1869.57,0.459776,1902.89,1906.42
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,26,36.1407,0,1874.62,0.458752,1907.98,1911.22
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,27,36.1656,0,1886.25,0.458752,1921.35,1922.87
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,28,36.3802,0,1891.21,0.458752,1924.73,1928.05
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,406,29,36.278,0,2032.21,0.461824,2028.14,2068.95
