dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,0,36.359,250.49,2.49292,1.10077,290.622,290.442
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,1,36.1543,239.32,2.46766,0.490464,278.551,278.432
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,2,36.1442,238.5,2.49469,0.490496,277.745,277.629
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,3,36.1442,240.76,2.47783,0.489408,279.996,279.871
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,4,36.1274,241.681,2.45915,0.491488,280.873,280.759
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,5,36.3332,242.654,2.46616,0.49152,282.06,281.944
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,6,36.3521,250.714,2.46009,0.486368,290.132,290.013
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,7,36.3431,234.737,2.46095,0.493568,274.145,274.034
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,8,36.6464,239.667,2.43696,0.495584,279.367,279.246
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,9,36.2351,236.901,2.45204,0.489472,276.197,276.078
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,10,36.1524,236.598,2.4593,0.490464,275.816,275.7
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,11,36.1596,238.077,2.46961,0.491488,277.311,277.198
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,12,36.565,240.868,2.45181,0.486336,280.496,280.371
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,13,36.5949,235.641,2.44787,0.488416,275.288,275.172
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,14,36.847,244.096,2.46634,0.488416,284.012,283.898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,15,36.261,239.391,2.44831,0.490496,278.704,278.591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,16,36.1521,233.791,2.47455,0.491488,273.02,272.909
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,17,36.1907,234.04,2.4542,0.489472,273.288,273.175
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,18,37.6787,255.011,2.48071,0.49248,295.799,295.663
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,19,36.6578,236.744,2.55799,0.505856,276.596,276.466
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,20,36.2107,239.856,2.45801,0.49152,279.131,279.016
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,21,36.2614,239.222,2.47263,0.489408,278.584,278.445
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,22,36.2125,237.861,2.44501,0.492512,277.047,277.011
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,23,36.2818,231.695,2.43925,0.489408,270.978,270.906
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,24,36.6163,240.566,2.48172,0.489408,280.269,280.153
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,25,36.6764,243.097,2.46928,0.492512,282.848,282.735
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,26,36.617,237.366,2.47833,0.490528,277.064,276.952
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,27,36.7671,240.828,2.48403,0.490464,280.682,280.57
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,28,37.338,235.087,2.44837,0.48944,274.304,275.363
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,406,29,38.4436,242.211,2.55519,0.505792,283.864,283.715
