dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,0,36.3476,245.154,2.66516,1.14374,285.487,285.311
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,1,36.3142,236.465,2.643,0.48736,276.024,275.909
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,2,36.3351,242.891,2.63841,0.490432,282.469,282.355
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,3,36.6957,251.335,2.63658,0.487392,291.023,291.154
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,4,36.5844,260.187,2.64539,0.494528,300.037,299.912
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,5,36.2922,251.562,2.64664,0.49456,291.035,290.995
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,6,36.2454,240.966,2.64141,0.504768,280.381,280.358
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,7,36.3381,252.177,2.64149,0.489504,291.761,291.646
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,8,36.4905,243.93,2.64918,0.495584,283.677,283.565
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,9,36.2691,234.677,2.65097,0.489408,274.205,274.087
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,10,36.1169,236.583,2.64772,0.490464,275.963,275.838
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,11,36.2309,236.07,2.64768,0.48944,275.533,275.438
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,12,36.3198,239.554,2.63979,0.487392,278.973,279.001
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,13,36.1382,233.658,2.64208,0.489408,273.051,272.927
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,14,36.5872,237.067,2.63884,0.491456,276.595,276.785
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,15,36.169,244.548,2.65178,0.489408,283.911,283.858
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,16,36.5942,238.875,2.64102,0.48944,278.5,278.6
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,17,36.32,234.342,2.64935,0.490464,273.915,273.802
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,18,36.0909,233.271,2.71325,0.503808,272.706,272.579
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,19,36.6196,237.498,2.63778,0.492512,277.126,277.248
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,20,36.2237,239.623,2.64007,0.490496,279.09,278.978
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,21,36.2674,235.871,2.63859,0.490432,275.382,275.268
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,22,36.2988,238.729,2.64602,0.485312,278.28,278.159
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,23,36.3102,238.869,2.63737,0.488416,278.404,278.305
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,24,36.2829,239.794,2.64566,0.491456,279.325,279.214
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,25,36.6505,232.122,2.63847,0.488384,271.959,271.9
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,26,36.5634,233.644,2.63307,0.493568,273.128,273.334
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,27,36.6177,238.56,2.64156,0.490496,278.238,278.31
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,28,37.7788,239.436,2.69535,0.503744,280.257,280.414
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,406,29,36.6386,238.239,2.66108,0.492576,277.895,278.031
