dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,0,12.3309,216.641,1.12645,0.715776,230.989,230.815
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,1,10.807,116.987,1.11994,0.336832,127.77,129.251
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,2,10.9534,111.804,1.09137,0.33888,121.05,124.188
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,3,10.8726,107.44,1.07695,0.337888,118.569,119.728
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,4,10.8294,110.86,1.08323,0.337888,118.292,123.111
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,5,10.8318,110.581,1.0552,0.337824,118.271,122.805
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,6,10.8705,109.531,1.10389,0.33376,118.096,121.839
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,7,10.8394,109.36,1.0816,0.335808,118.438,121.617
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,8,10.9156,113.227,1.09167,0.33584,125.683,125.57
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,9,10.843,109.495,1.10048,0.33584,121.166,121.775
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,10,10.8617,107.054,1.08783,0.335808,117.599,119.34
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,11,10.8067,115.002,1.1015,0.334816,117.205,127.245
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,12,10.7678,113.345,1.06293,0.334752,125.643,125.511
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,13,10.9552,105.05,1.0847,0.334752,115.195,117.424
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,14,10.9389,106.203,1.09608,0.336864,116.056,118.574
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,15,10.853,106.214,1.0789,0.336896,118.609,118.483
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,16,10.9356,108.357,1.10388,0.334784,120.84,120.731
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,17,10.9353,105.536,1.08846,0.33376,116.917,117.894
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,18,10.9447,105.639,1.07339,0.337888,116.805,117.995
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,19,10.9471,105.177,1.06357,0.335808,116.766,117.524
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,20,10.8257,113.804,1.08516,0.3368,126.163,126.051
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,21,10.9501,105.544,1.06465,0.33888,117.185,117.898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,22,10.9669,104.686,1.07521,0.335808,116.953,117.063
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,23,10.9249,105.381,1.05248,0.334752,117.104,117.693
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,24,10.8328,107.662,1.10861,0.336832,120.052,119.941
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,25,10.8287,107.689,1.10008,0.332704,119.511,119.951
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,26,10.8291,107.947,1.06963,0.334752,117.688,120.181
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,27,10.9417,106.06,1.07787,0.334784,116.907,118.415
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,28,10.8328,105.253,1.09535,0.336832,117.629,117.518
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,323,29,10.9399,105.493,1.07929,0.334816,117.193,117.847
