dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,0,37.5572,0,2456.19,1.0209,2470.27,2494.77
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,1,37.4533,0,1997.78,0.474112,2015.56,2035.7
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,2,37.7601,0,1873.78,0.466944,1910.91,1912.01
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,3,36.347,0,1871.57,0.48128,1907.56,1908.4
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,4,36.635,0,1865.56,0.470016,1901.7,1902.66
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,5,37.367,0,1995.23,0.470016,2011.58,2033.07
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,6,36.7057,0,1871.67,0.490496,1907.86,1908.87
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,7,36.3261,0,1995.16,0.472064,2010.06,2031.96
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,8,37.8475,0,1891.65,0.468992,1928.86,1929.97
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,9,36.3837,0,1867.06,0.470016,1902.58,1903.91
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,10,36.3691,0,1871.78,0.484352,1907.32,1908.64
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,11,36.3515,0,1865.7,0.467968,1902.25,1902.52
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,12,36.6606,0,1864.38,0.466944,1899.95,1901.51
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,13,36.7282,0,1867.33,0.473088,1901.75,1904.53
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,14,37.7847,0,1865.2,0.472064,1901.73,1903.46
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,15,36.3596,0,1861.81,0.474112,1898.48,1898.64
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,16,36.3047,0,1862,0.467968,1898.06,1898.77
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,17,36.7071,0,1864.77,0.468992,1901.13,1901.95
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,18,36.7004,0,1865.5,0.475136,1900.99,1902.67
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,19,36.7963,0,1865.27,0.472064,1901.23,1902.53
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,20,36.7368,0,1863.76,0.468992,1897.15,1900.96
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,21,36.762,0,1864.99,0.46896,1899.13,1902.22
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,22,36.2758,0,1993.32,0.472064,2000.34,2030.07
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,23,36.2848,0,1860.45,0.466944,1895.84,1897.2
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,24,36.1766,0,1862.22,0.464896,1898.6,1898.86
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,25,36.2604,0,1859.74,0.468,1894.07,1896.47
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,26,36.3052,0,1860.51,0.4864,1895.1,1897.31
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,27,36.3404,0,1862.62,0.466912,1897.36,1899.43
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,28,36.3601,0,1857.51,0.468992,1893.07,1894.34
3,float,uniform,CPU,"N | N | N | N | N | N",4,406,29,36.2854,0,1862.73,0.470016,1898.4,1899.49
