dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,0,12.2639,211.046,1.16241,0.746464,220.531,225.219
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,1,10.7561,126.611,1.1498,0.365472,136.637,138.882
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,2,11.0303,127.795,1.15451,0.371616,140.469,140.351
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,3,10.7908,127.823,1.16157,0.373728,138.575,140.149
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,4,10.8717,123.353,1.1628,0.372672,135.885,135.76
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,5,10.921,120.661,1.15145,0.372704,133.222,133.106
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,6,10.8876,118.548,1.15558,0.368576,131.072,130.96
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,7,10.8818,118.611,1.14402,0.368608,128.629,131.005
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,8,11.0112,109.251,1.15885,0.368576,121.902,121.79
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,9,11.0088,114.184,1.1501,0.367552,126.829,126.71
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,10,10.7948,109.826,1.15278,0.38288,121.655,122.156
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,11,10.8953,118.617,1.14961,0.374752,131.147,131.036
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,12,10.8617,117.413,1.16149,0.363456,121.843,129.8
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,13,10.9564,113.582,1.14324,0.366528,121.608,126.048
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,14,10.9744,122.969,1.16054,0.372672,135.592,135.477
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,15,10.9776,122.36,1.16086,0.36752,134.983,134.866
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,16,10.9996,106.184,1.1609,0.36656,118.823,118.711
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,17,10.973,111.958,1.1632,0.375776,124.585,124.47
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,18,11.057,109.575,1.1607,0.367584,122.278,122.161
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,19,10.8288,113.266,1.16272,0.37264,123.955,125.63
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,20,11.0456,111.371,1.17,0.365504,124.066,123.952
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,21,11.6606,110.835,1.21022,0.384928,117.563,124.091
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,22,10.9055,107.373,1.16268,0.367584,119.936,119.809
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,23,10.812,108.709,1.13738,0.365504,117.519,121.024
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,24,10.7954,106.556,1.14628,0.366624,117.664,118.865
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,25,10.7775,106.598,1.15415,0.366528,117.67,118.896
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,26,10.8394,111.35,1.15577,0.371648,118.733,123.717
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,27,10.9854,111.39,1.1589,0.367552,124.016,123.902
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,28,11.0136,107.259,1.14535,0.368544,119.904,119.787
3,float,uniform,CPU,"P | P | P | P | D | N",6,323,29,10.9917,109.271,1.16305,0.365536,117.788,121.791
