dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,0,36.0445,508.252,3.10303,1.64147,549.246,549.041
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,1,36.2297,510.298,3.08262,1.08442,550.787,550.695
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,2,36.3575,509.993,3.09021,1.08339,550.621,550.524
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,3,36.5779,511.761,3.088,1.08442,552.626,552.512
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,4,36.1579,510.771,3.12251,1.09261,551.238,551.144
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,5,36.3054,511.518,3.07007,1.08954,552.078,551.983
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,6,36.3808,511.235,3.09408,1.08851,551.895,551.799
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,7,36.5733,513.217,3.09248,1.08339,554.063,553.966
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,8,36.2954,510.899,3.07643,1.07622,551.4,551.347
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,9,36.17,509.864,3.09832,1.08851,550.324,550.221
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,10,36.4543,511.446,3.08243,1.0752,552.157,552.058
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,11,36.4324,509.424,3.06794,1.08954,550.108,550.014
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,12,36.3362,509.538,3.0575,1.08749,550.115,550.019
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,13,36.5098,509.88,3.07203,1.08339,550.641,550.545
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,14,36.4316,511.619,3.07787,1.09466,552.343,552.223
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,15,36.4693,511.329,3.09754,1.08646,552.076,551.982
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,16,36.4313,509.34,3.09886,1.08032,550.017,549.95
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,17,36.3058,510.03,3.07674,1.08339,550.56,550.496
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,18,36.3042,509.028,3.05796,1.08032,549.548,549.471
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,19,36.2307,509.109,3.0925,1.08237,549.594,549.515
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,20,36.2652,508.108,3.0751,1.07725,548.601,548.526
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,21,36.4312,508.888,3.06496,1.08544,549.563,549.469
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,22,36.2196,510.868,3.10144,1.08339,551.366,551.272
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,23,36.2597,509.616,3.0838,1.08237,550.136,550.042
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,24,36.2056,509.636,3.06783,1.08339,550.09,549.992
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,25,36.1173,508.182,3.09277,1.09261,548.58,548.484
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,26,36.1918,508.915,3.0719,1.08544,549.361,549.264
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,27,36.3285,509.618,3.08747,1.08544,550.227,550.12
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,28,36.1195,508.401,3.1021,1.08954,548.74,548.712
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",2,323,29,36.0994,508.491,3.08206,1.07315,548.785,548.746
