dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,0,27.9568,1.0783,2.13287,1.52678,32.8432,32.6948
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,1,27.8043,1.04054,2.09853,0.974848,32.0099,31.9182
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,2,27.9385,1.04289,2.06731,0.974848,32.1182,32.0236
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,3,27.952,1.03897,2.06767,0.978944,32.1267,32.0376
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,4,27.9524,1.04098,2.06611,0.982016,32.1318,32.0415
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,5,27.6107,1.04276,2.06416,0.984064,31.7908,31.7017
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,6,27.5659,1.04131,2.06808,0.969728,31.7344,31.645
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,7,27.8471,1.04198,2.0654,0.9728,32.0354,31.9272
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,8,27.38,1.04247,2.06287,0.971776,31.5456,31.4571
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,9,27.5521,1.03938,2.06606,0.978944,31.7331,31.6365
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,10,27.585,1.04247,2.06087,0.984064,31.7629,31.6724
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,11,27.6159,1.04068,2.06398,0.979968,31.7906,31.7006
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,12,27.5871,1.05271,2.06056,0.984064,31.7755,31.6844
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,13,27.929,1.04102,2.07077,0.976896,32.1079,32.0177
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,14,27.9156,1.04152,2.06334,0.9728,32.0846,31.9932
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,15,27.6686,1.03978,2.0699,0.97792,31.8474,31.7562
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,16,27.6388,1.04196,2.06311,0.980992,31.8209,31.7248
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,17,27.7912,1.03844,2.06665,0.984064,31.9707,31.8804
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,18,27.3599,1.0397,2.068,0.982016,31.5398,31.4496
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,19,27.4252,1.03943,2.06221,0.979968,31.6075,31.5068
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,20,27.6657,1.04012,2.0617,0.974848,31.8314,31.7424
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,21,27.6324,1.03979,2.06048,0.980992,31.8012,31.7137
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,22,27.6402,1.04162,2.07274,0.978944,31.8227,31.7335
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,23,27.7381,1.03941,2.06518,0.982016,31.9145,31.8247
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,24,27.6742,1.04249,2.0754,0.980992,31.865,31.7731
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,25,28.1139,1.04208,2.06788,0.979968,32.3062,32.2038
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,26,28.0244,1.04004,2.0692,0.97792,32.1984,32.1115
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,27,27.7339,1.06133,2.07003,0.979968,31.9422,31.8453
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,28,27.244,1.04811,2.05901,0.979968,31.424,31.3311
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",1,256,29,27.4934,1.03857,2.06136,0.980992,31.6626,31.5743
