dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,0,36.3849,536.419,3.12889,1.71821,577.855,577.651
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,1,36.2069,534.971,3.08441,1.00346,566.672,575.265
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,2,36.2415,556.2,3.07788,1.00141,589.338,596.521
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,3,36.3051,558.38,3.09026,0.999392,596.806,598.775
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,4,36.2778,543.158,3.07878,0.999424,579.854,583.514
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,5,36.3304,520.339,3.07797,1.00035,556.018,560.748
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,6,36.6944,517.296,3.0758,1.0065,554.308,558.072
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,7,36.6612,516.599,3.0958,1.0024,553.353,557.359
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,8,36.1651,508.504,3.06695,1.00243,547.332,548.739
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,9,36.1215,511.672,3.08792,1.00349,552.032,551.885
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,10,36.1246,516.002,3.08119,1.00554,555.606,556.213
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,11,36.1379,507.137,3.15512,1.01987,547.627,547.45
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,12,36.2043,510.539,3.11216,1.00246,551.007,550.858
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,13,36.594,551.653,3.0962,1.00138,569.018,592.344
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,14,36.4196,559.963,3.07637,1.00144,583.159,600.46
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,15,36.1836,560.58,3.06746,1.00045,587.245,600.831
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,16,38.4601,553.607,3.16402,1.02701,580.289,596.258
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,17,36.1125,553.106,3.11065,1.00042,582.189,593.329
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,18,36.1603,525.637,3.0773,1.00246,557.034,565.877
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,19,36.1349,532.98,3.07948,1.00035,568.389,573.195
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,20,36.0784,532.967,3.09302,0.99936,572.164,573.138
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,21,36.555,510.111,3.08934,1.0024,550.9,550.757
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,22,36.1319,513.629,3.07318,0.999392,553.32,553.833
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,23,36.4414,517.344,3.09458,0.99936,558.024,557.88
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,24,36.3386,515.807,3.09496,1.00448,556.39,556.245
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,25,36.1225,515.701,3.06498,1.00448,555.565,555.893
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,26,36.4586,539.394,3.08292,1.00768,580.095,579.943
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,27,36.2299,510.582,3.09441,1.00448,551.044,550.911
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,28,36.2928,512.637,3.09903,1.00246,551.847,553.031
3,float,uniform,CPU,"P | P | P | P | N | D",4,406,29,36.2637,516.009,3.07973,1.00346,556.192,556.356
