dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,0,27.9486,1.07286,2.51324,1.46534,33.1528,33
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,1,27.7052,1.03822,2.4874,0.975872,32.2941,32.2066
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,2,28.0726,1.03884,2.46082,0.980992,32.6369,32.5532
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,3,27.9951,1.03989,2.42433,0.97792,32.5279,32.4372
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,4,27.9135,1.04094,2.45122,0.982016,32.4727,32.3877
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,5,27.3618,1.04179,2.44312,0.97792,31.9149,31.8246
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,6,27.8829,1.04129,2.43784,0.980992,32.4356,32.343
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,7,27.7521,1.03835,2.44991,0.979968,32.3026,32.2203
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,8,28.1517,1.03866,2.43315,0.96768,32.6775,32.5912
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,9,27.7341,1.04108,2.44622,0.978944,32.3284,32.2003
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,10,27.4197,1.03934,2.42481,0.97792,31.9463,31.8618
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,11,27.8736,1.03873,2.43843,0.970752,32.4108,32.3215
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,12,27.9642,1.03991,2.43182,0.979968,32.5027,32.4159
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,13,27.809,1.03842,2.43704,0.974848,32.347,32.2593
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,14,27.335,1.04078,2.43026,0.973824,31.8642,31.7798
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,15,27.6477,1.04263,2.4685,0.985088,32.2343,32.1439
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,16,27.4064,1.03922,2.43167,0.97792,31.9397,31.8552
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,17,27.749,1.03885,2.47512,0.975872,32.3328,32.2389
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,18,27.7874,1.03886,2.44576,0.980992,32.3437,32.253
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,19,27.9011,1.05692,2.46884,0.975872,32.4942,32.4027
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,20,27.8148,1.04526,2.44232,0.97792,32.3736,32.2803
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,21,27.6316,1.03535,2.42822,0.979936,32.1575,32.0751
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,22,27.8692,1.04052,2.46083,0.982016,32.4373,32.3526
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,23,27.649,1.04168,2.4523,0.975872,32.2058,32.1188
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,24,27.7597,1.04364,2.44183,0.976896,32.3154,32.2221
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,25,27.6036,1.03976,2.41975,0.978944,32.1294,32.042
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,26,27.6811,1.03893,2.43953,0.974848,32.2188,32.1344
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,27,28.0582,1.04309,2.43892,0.978944,32.6147,32.5191
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,28,28.4668,1.04792,2.40129,0.985088,32.9989,32.9011
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",1,256,29,28.1195,1.039,2.45012,0.98304,32.682,32.5916
