dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,0,12.3846,192.425,1.23247,0.727008,206.994,206.769
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,1,10.9259,117.005,1.14337,0.375744,129.565,129.45
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,2,11.005,115.277,1.15788,0.373728,127.936,127.814
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,3,11.0791,111.768,1.15549,0.375712,124.498,124.378
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,4,11.0015,119.495,1.15084,0.375776,132.138,132.023
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,5,11.0022,112.342,1.15173,0.374784,124.989,124.871
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,6,10.9587,109.068,1.1428,0.36752,121.223,121.537
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,7,10.913,113.364,1.15067,0.375776,125.919,125.803
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,8,10.8223,111.658,1.1478,0.373728,122.71,124.002
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,9,10.8077,111.651,1.14582,0.374752,121.097,123.979
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,10,10.9438,108.057,1.1524,0.370624,120.633,120.524
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,11,10.8311,116.633,1.14966,0.3696,125.07,128.983
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,12,10.8172,112.055,1.13724,0.368544,121.786,124.378
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,13,11.017,114.608,1.14881,0.372672,127.261,127.147
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,14,11.0268,104.433,1.15383,0.374816,117.105,116.988
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,15,10.779,115.88,1.15202,0.36752,121.928,128.179
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,16,10.9952,106.008,1.14657,0.368608,118.642,118.518
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,17,10.8838,116.882,1.14936,0.369632,129.421,129.285
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,18,10.8961,118.29,1.15262,0.370656,130.835,130.709
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,19,10.8977,105.628,1.14609,0.3696,118.152,118.041
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,20,10.9245,115.69,1.1528,0.375776,128.268,128.143
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,21,10.8643,110.154,1.16052,0.368608,122.665,122.547
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,22,10.9547,112.468,1.1415,0.375744,119.794,124.94
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,23,10.8944,111.975,1.22052,0.390112,124.622,124.48
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,24,10.9644,108.939,1.17342,0.380896,121.587,121.457
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,25,10.8905,111.918,1.14797,0.37264,124.442,124.33
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,26,11.0035,111.585,1.15411,0.370592,124.223,124.113
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,27,10.9638,107.505,1.15421,0.371648,120.107,119.994
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,28,10.9713,108.491,1.1551,0.380864,121.136,120.998
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,323,29,10.8534,106.114,1.13551,0.368544,118.467,118.471
