dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",64,0,       0.158432
2,double,uniform,PoisFFT,"D | D | D | D",64,1,       0.152873
2,double,uniform,PoisFFT,"D | D | D | D",64,2,       0.152752
2,double,uniform,PoisFFT,"D | D | D | D",64,3,       0.152822
2,double,uniform,PoisFFT,"D | D | D | D",64,4,       0.152581
2,double,uniform,PoisFFT,"D | D | D | D",64,5,       0.152863
2,double,uniform,PoisFFT,"D | D | D | D",64,6,       0.155103
2,double,uniform,PoisFFT,"D | D | D | D",64,7,       0.152543
2,double,uniform,PoisFFT,"D | D | D | D",64,8,       0.152817
2,double,uniform,PoisFFT,"D | D | D | D",64,9,       0.152715
2,double,uniform,PoisFFT,"D | D | D | D",64,10,       0.152712
2,double,uniform,PoisFFT,"D | D | D | D",64,11,       0.154538
2,double,uniform,PoisFFT,"D | D | D | D",64,12,       0.153266
2,double,uniform,PoisFFT,"D | D | D | D",64,13,       0.152412
2,double,uniform,PoisFFT,"D | D | D | D",64,14,       0.152379
2,double,uniform,PoisFFT,"D | D | D | D",64,15,       0.152557
2,double,uniform,PoisFFT,"D | D | D | D",64,16,       0.152780
2,double,uniform,PoisFFT,"D | D | D | D",64,17,       0.154968
2,double,uniform,PoisFFT,"D | D | D | D",64,18,       0.152761
2,double,uniform,PoisFFT,"D | D | D | D",64,19,       0.152524
2,double,uniform,PoisFFT,"D | D | D | D",128,0,       1.740739
2,double,uniform,PoisFFT,"D | D | D | D",128,1,       1.762509
2,double,uniform,PoisFFT,"D | D | D | D",128,2,       1.760761
2,double,uniform,PoisFFT,"D | D | D | D",128,3,       1.760289
2,double,uniform,PoisFFT,"D | D | D | D",128,4,       1.757762
2,double,uniform,PoisFFT,"D | D | D | D",128,5,       1.765509
2,double,uniform,PoisFFT,"D | D | D | D",128,6,       1.745156
2,double,uniform,PoisFFT,"D | D | D | D",128,7,       1.761580
2,double,uniform,PoisFFT,"D | D | D | D",128,8,       1.744547
2,double,uniform,PoisFFT,"D | D | D | D",128,9,       1.760048
2,double,uniform,PoisFFT,"D | D | D | D",128,10,       1.760460
2,double,uniform,PoisFFT,"D | D | D | D",128,11,       1.759603
2,double,uniform,PoisFFT,"D | D | D | D",128,12,       1.758886
2,double,uniform,PoisFFT,"D | D | D | D",128,13,       1.760210
2,double,uniform,PoisFFT,"D | D | D | D",128,14,       1.761228
