dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"N | N | N | N",64,0,       0.236327
2,double,uniform,PoisFFT,"N | N | N | N",64,1,       0.191020
2,double,uniform,PoisFFT,"N | N | N | N",64,2,       0.190810
2,double,uniform,PoisFFT,"N | N | N | N",64,3,       0.190210
2,double,uniform,PoisFFT,"N | N | N | N",64,4,       0.193918
2,double,uniform,PoisFFT,"N | N | N | N",64,5,       0.197840
2,double,uniform,PoisFFT,"N | N | N | N",64,6,       0.183410
2,double,uniform,PoisFFT,"N | N | N | N",64,7,       0.183590
2,double,uniform,PoisFFT,"N | N | N | N",64,8,       0.183306
2,double,uniform,PoisFFT,"N | N | N | N",64,9,       0.183624
2,double,uniform,PoisFFT,"N | N | N | N",64,10,       0.183491
2,double,uniform,PoisFFT,"N | N | N | N",64,11,       0.183397
2,double,uniform,PoisFFT,"N | N | N | N",64,12,       0.183196
2,double,uniform,PoisFFT,"N | N | N | N",64,13,       0.186499
2,double,uniform,PoisFFT,"N | N | N | N",64,14,       0.183301
2,double,uniform,PoisFFT,"N | N | N | N",64,15,       0.183541
2,double,uniform,PoisFFT,"N | N | N | N",64,16,       0.183560
2,double,uniform,PoisFFT,"N | N | N | N",64,17,       0.183357
2,double,uniform,PoisFFT,"N | N | N | N",64,18,       0.186400
2,double,uniform,PoisFFT,"N | N | N | N",64,19,       0.183240
2,double,uniform,PoisFFT,"N | N | N | N",128,0,       4.287107
2,double,uniform,PoisFFT,"N | N | N | N",128,1,       4.397645
2,double,uniform,PoisFFT,"N | N | N | N",128,2,       4.207609
2,double,uniform,PoisFFT,"N | N | N | N",128,3,       3.951144
2,double,uniform,PoisFFT,"N | N | N | N",128,4,       4.349754
2,double,uniform,PoisFFT,"N | N | N | N",128,5,       4.245067
2,double,uniform,PoisFFT,"N | N | N | N",128,6,       4.340857
2,double,uniform,PoisFFT,"N | N | N | N",128,7,       4.098987
2,double,uniform,PoisFFT,"N | N | N | N",128,8,       4.081952
2,double,uniform,PoisFFT,"N | N | N | N",128,9,       4.441830
2,double,uniform,PoisFFT,"N | N | N | N",128,10,       4.443211
2,double,uniform,PoisFFT,"N | N | N | N",128,11,       4.305845
2,double,uniform,PoisFFT,"N | N | N | N",128,12,       4.203929
2,double,uniform,PoisFFT,"N | N | N | N",128,13,       4.003411
2,double,uniform,PoisFFT,"N | N | N | N",128,14,       4.230340
2,double,uniform,PoisFFT,"N | N | N | N",128,15,       4.102132
2,double,uniform,PoisFFT,"N | N | N | N",128,16,       4.155555
2,double,uniform,PoisFFT,"N | N | N | N",128,17,       4.344062
2,double,uniform,PoisFFT,"N | N | N | N",128,18,       4.247076
2,double,uniform,PoisFFT,"N | N | N | N",128,19,       4.394408
2,double,uniform,PoisFFT,"N | N | N | N",192,0,      14.751553
2,double,uniform,PoisFFT,"N | N | N | N",192,1,      15.323543
2,double,uniform,PoisFFT,"N | N | N | N",192,2,      14.593755
2,double,uniform,PoisFFT,"N | N | N | N",192,3,      14.446139
2,double,uniform,PoisFFT,"N | N | N | N",192,4,      14.446773
2,double,uniform,PoisFFT,"N | N | N | N",192,5,      14.267429
2,double,uniform,PoisFFT,"N | N | N | N",192,6,      14.186996
2,double,uniform,PoisFFT,"N | N | N | N",192,7,      14.386927
2,double,uniform,PoisFFT,"N | N | N | N",192,8,      14.315622
2,double,uniform,PoisFFT,"N | N | N | N",192,9,      14.551962
2,double,uniform,PoisFFT,"N | N | N | N",192,10,      14.328560
2,double,uniform,PoisFFT,"N | N | N | N",192,11,      14.362370
2,double,uniform,PoisFFT,"N | N | N | N",192,12,      14.719027
2,double,uniform,PoisFFT,"N | N | N | N",192,13,      14.301624
2,double,uniform,PoisFFT,"N | N | N | N",192,14,      14.414542
2,double,uniform,PoisFFT,"N | N | N | N",192,15,      14.525752
2,double,uniform,PoisFFT,"N | N | N | N",192,16,      14.502835
2,double,uniform,PoisFFT,"N | N | N | N",192,17,      14.178407
2,double,uniform,PoisFFT,"N | N | N | N",192,18,      14.713836
2,double,uniform,PoisFFT,"N | N | N | N",192,19,      14.438552
2,double,uniform,PoisFFT,"N | N | N | N",256,0,       4.700381
2,double,uniform,PoisFFT,"N | N | N | N",256,1,       4.732258
2,double,uniform,PoisFFT,"N | N | N | N",256,2,       4.728241
2,double,uniform,PoisFFT,"N | N | N | N",256,3,       4.725379
2,double,uniform,PoisFFT,"N | N | N | N",256,4,       4.727173
2,double,uniform,PoisFFT,"N | N | N | N",256,5,       4.725664
2,double,uniform,PoisFFT,"N | N | N | N",256,6,       4.724522
2,double,uniform,PoisFFT,"N | N | N | N",256,7,       4.855159
2,double,uniform,PoisFFT,"N | N | N | N",256,8,       4.732851
2,double,uniform,PoisFFT,"N | N | N | N",256,9,       4.722526
2,double,uniform,PoisFFT,"N | N | N | N",256,10,       4.722468
2,double,uniform,PoisFFT,"N | N | N | N",256,11,       4.721832
2,double,uniform,PoisFFT,"N | N | N | N",256,12,       4.722635
2,double,uniform,PoisFFT,"N | N | N | N",256,13,       4.726549
2,double,uniform,PoisFFT,"N | N | N | N",256,14,       4.791063
2,double,uniform,PoisFFT,"N | N | N | N",256,15,       4.725260
2,double,uniform,PoisFFT,"N | N | N | N",256,16,       4.727641
