dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,0,       1.711103
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,1,       0.809034
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,2,       0.855056
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,3,       0.910949
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,4,       0.879010
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,5,       0.816963
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,6,       0.855569
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,7,       0.918193
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,8,       0.849781
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,9,       0.839156
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,10,       0.921290
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,11,       0.817319
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,12,       0.853828
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,13,       0.862960
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,14,       0.877057
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,15,       0.819137
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,16,       0.853910
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,17,       0.890247
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,18,       0.822196
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,19,       0.820303
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,0,       9.511710
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,1,       8.878875
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,2,       9.773669
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,3,       8.911404
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,4,       8.945593
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,5,       8.948159
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,6,       8.798151
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,7,       8.909957
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,8,       8.877136
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,9,       8.833128
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,10,       8.938974
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,11,       8.889219
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,12,       8.816418
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,13,       8.886766
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,14,       8.927032
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,15,       8.874428
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,16,       8.824166
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,17,       8.931883
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,18,       8.948725
3,double,uniform,PoisFFT,"P | P | P | P | P | P",128,19,       8.880834
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,0,      35.890562
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,1,      36.615339
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,2,      35.788605
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,3,      35.376154
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,4,      35.907094
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,5,      35.555250
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,6,      35.430115
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,7,      35.512611
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,8,      35.929947
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,9,      35.892275
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,10,      35.265544
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,11,      35.415140
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,12,      35.774263
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,13,      36.047126
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,14,      35.458283
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,15,      35.442970
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,16,      35.216384
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,17,      35.562207
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,18,      35.721632
3,double,uniform,PoisFFT,"P | P | P | P | P | P",192,19,      35.978358
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,0,      90.368337
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,1,      89.637798
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,2,      90.128310
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,3,      89.533749
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,4,      89.958074
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,5,      89.914461
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,6,      89.977281
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,7,      89.176997
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,8,      90.161465
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,9,      91.295964
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,10,      89.972642
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,11,      89.734529
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,12,      88.808496
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,13,      90.870962
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,14,      88.777774
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,15,      89.444050
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,16,      89.133999
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,17,      90.221457
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,18,      89.115001
3,double,uniform,PoisFFT,"P | P | P | P | P | P",256,19,      90.334783
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,0,     167.328833
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,1,     169.013676
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,2,     167.353517
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,3,     166.956975
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,4,     167.025291
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,5,     167.714375
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,6,     167.507679
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,7,     167.625181
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,8,     167.912278
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,9,     167.845033
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,10,     169.225370
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,11,     167.496360
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,12,     167.527351
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,13,     168.330722
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,14,     167.439126
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,15,     167.607255
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,16,     167.209772
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,17,     167.077184
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,18,     167.626895
3,double,uniform,PoisFFT,"P | P | P | P | P | P",320,19,     167.710491
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,0,     305.582108
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,1,     306.057803
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,2,     310.389054
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,3,     311.348287
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,4,     308.938436
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,5,     315.855636
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,6,     305.985332
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,7,     308.056683
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,8,     306.154410
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,9,     308.231003
3,double,uniform,PoisFFT,"P | P | P | P | P | P",384,10,     307.001403
