dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | N",64,0,       0.004103
1,float,uniform,PoisFFT,"D | N",64,1,       0.000978
1,float,uniform,PoisFFT,"D | N",64,2,       0.000862
1,float,uniform,PoisFFT,"D | N",64,3,       0.000799
1,float,uniform,PoisFFT,"D | N",64,4,       0.000775
1,float,uniform,PoisFFT,"D | N",64,5,       0.000771
1,float,uniform,PoisFFT,"D | N",64,6,       0.000766
1,float,uniform,PoisFFT,"D | N",64,7,       0.000767
1,float,uniform,PoisFFT,"D | N",64,8,       0.000770
1,float,uniform,PoisFFT,"D | N",64,9,       0.000767
1,float,uniform,PoisFFT,"D | N",64,10,       0.000773
1,float,uniform,PoisFFT,"D | N",64,11,       0.000772
1,float,uniform,PoisFFT,"D | N",64,12,       0.000768
1,float,uniform,PoisFFT,"D | N",64,13,       0.000773
1,float,uniform,PoisFFT,"D | N",64,14,       0.000769
1,float,uniform,PoisFFT,"D | N",64,15,       0.000774
1,float,uniform,PoisFFT,"D | N",64,16,       0.000879
1,float,uniform,PoisFFT,"D | N",64,17,       0.000828
1,float,uniform,PoisFFT,"D | N",64,18,       0.000830
1,float,uniform,PoisFFT,"D | N",64,19,       0.000826
1,float,uniform,PoisFFT,"D | N",128,0,       0.001772
1,float,uniform,PoisFFT,"D | N",128,1,       0.001541
1,float,uniform,PoisFFT,"D | N",128,2,       0.001505
1,float,uniform,PoisFFT,"D | N",128,3,       0.001515
1,float,uniform,PoisFFT,"D | N",128,4,       0.001486
1,float,uniform,PoisFFT,"D | N",128,5,       0.001491
1,float,uniform,PoisFFT,"D | N",128,6,       0.001481
1,float,uniform,PoisFFT,"D | N",128,7,       0.001489
1,float,uniform,PoisFFT,"D | N",128,8,       0.001485
1,float,uniform,PoisFFT,"D | N",128,9,       0.001482
1,float,uniform,PoisFFT,"D | N",128,10,       0.001483
1,float,uniform,PoisFFT,"D | N",128,11,       0.001485
1,float,uniform,PoisFFT,"D | N",128,12,       0.001483
1,float,uniform,PoisFFT,"D | N",128,13,       0.001484
1,float,uniform,PoisFFT,"D | N",128,14,       0.001486
1,float,uniform,PoisFFT,"D | N",128,15,       0.001487
1,float,uniform,PoisFFT,"D | N",128,16,       0.001483
1,float,uniform,PoisFFT,"D | N",128,17,       0.001483
1,float,uniform,PoisFFT,"D | N",128,18,       0.001482
1,float,uniform,PoisFFT,"D | N",128,19,       0.001485
1,float,uniform,PoisFFT,"D | N",192,0,       0.002956
1,float,uniform,PoisFFT,"D | N",192,1,       0.002556
1,float,uniform,PoisFFT,"D | N",192,2,       0.002511
1,float,uniform,PoisFFT,"D | N",192,3,       0.002481
1,float,uniform,PoisFFT,"D | N",192,4,       0.002483
1,float,uniform,PoisFFT,"D | N",192,5,       0.002481
1,float,uniform,PoisFFT,"D | N",192,6,       0.002482
1,float,uniform,PoisFFT,"D | N",192,7,       0.002477
1,float,uniform,PoisFFT,"D | N",192,8,       0.002478
1,float,uniform,PoisFFT,"D | N",192,9,       0.002475
1,float,uniform,PoisFFT,"D | N",192,10,       0.002480
1,float,uniform,PoisFFT,"D | N",192,11,       0.005323
1,float,uniform,PoisFFT,"D | N",192,12,       0.002507
1,float,uniform,PoisFFT,"D | N",192,13,       0.002478
1,float,uniform,PoisFFT,"D | N",192,14,       0.002479
1,float,uniform,PoisFFT,"D | N",192,15,       0.002473
1,float,uniform,PoisFFT,"D | N",192,16,       0.002473
1,float,uniform,PoisFFT,"D | N",192,17,       0.002473
1,float,uniform,PoisFFT,"D | N",192,18,       0.002705
1,float,uniform,PoisFFT,"D | N",192,19,       0.002639
1,float,uniform,PoisFFT,"D | N",256,0,       0.003361
1,float,uniform,PoisFFT,"D | N",256,1,       0.003079
1,float,uniform,PoisFFT,"D | N",256,2,       0.003016
1,float,uniform,PoisFFT,"D | N",256,3,       0.003014
1,float,uniform,PoisFFT,"D | N",256,4,       0.002999
1,float,uniform,PoisFFT,"D | N",256,5,       0.002976
1,float,uniform,PoisFFT,"D | N",256,6,       0.002973
1,float,uniform,PoisFFT,"D | N",256,7,       0.002976
1,float,uniform,PoisFFT,"D | N",256,8,       0.002977
1,float,uniform,PoisFFT,"D | N",256,9,       0.002976
1,float,uniform,PoisFFT,"D | N",256,10,       0.002977
1,float,uniform,PoisFFT,"D | N",256,11,       0.002976
1,float,uniform,PoisFFT,"D | N",256,12,       0.002977
1,float,uniform,PoisFFT,"D | N",256,13,       0.002977
1,float,uniform,PoisFFT,"D | N",256,14,       0.002977
1,float,uniform,PoisFFT,"D | N",256,15,       0.002974
1,float,uniform,PoisFFT,"D | N",256,16,       0.013401
1,float,uniform,PoisFFT,"D | N",256,17,       0.011899
1,float,uniform,PoisFFT,"D | N",256,18,       0.008650
1,float,uniform,PoisFFT,"D | N",256,19,       0.008611
1,float,uniform,PoisFFT,"D | N",320,0,       0.005517
1,float,uniform,PoisFFT,"D | N",320,1,       0.004773
1,float,uniform,PoisFFT,"D | N",320,2,       0.004759
1,float,uniform,PoisFFT,"D | N",320,3,       0.004677
1,float,uniform,PoisFFT,"D | N",320,4,       0.004684
1,float,uniform,PoisFFT,"D | N",320,5,       0.004630
1,float,uniform,PoisFFT,"D | N",320,6,       0.004674
1,float,uniform,PoisFFT,"D | N",320,7,       0.004650
1,float,uniform,PoisFFT,"D | N",320,8,       0.004661
1,float,uniform,PoisFFT,"D | N",320,9,       0.004630
1,float,uniform,PoisFFT,"D | N",320,10,       0.004634
1,float,uniform,PoisFFT,"D | N",320,11,       0.004645
1,float,uniform,PoisFFT,"D | N",320,12,       0.021158
1,float,uniform,PoisFFT,"D | N",320,13,       0.005003
1,float,uniform,PoisFFT,"D | N",320,14,       0.005004
1,float,uniform,PoisFFT,"D | N",320,15,       0.004974
1,float,uniform,PoisFFT,"D | N",320,16,       0.004969
1,float,uniform,PoisFFT,"D | N",320,17,       0.004969
1,float,uniform,PoisFFT,"D | N",320,18,       0.004984
1,float,uniform,PoisFFT,"D | N",320,19,       0.004969
1,float,uniform,PoisFFT,"D | N",384,0,       0.005944
1,float,uniform,PoisFFT,"D | N",384,1,       0.005204
1,float,uniform,PoisFFT,"D | N",384,2,       0.005168
1,float,uniform,PoisFFT,"D | N",384,3,       0.005132
1,float,uniform,PoisFFT,"D | N",384,4,       0.005135
1,float,uniform,PoisFFT,"D | N",384,5,       0.005119
1,float,uniform,PoisFFT,"D | N",384,6,       0.005131
1,float,uniform,PoisFFT,"D | N",384,7,       0.005142
1,float,uniform,PoisFFT,"D | N",384,8,       0.005132
1,float,uniform,PoisFFT,"D | N",384,9,       0.005151
1,float,uniform,PoisFFT,"D | N",384,10,       0.021300
1,float,uniform,PoisFFT,"D | N",384,11,       0.005536
1,float,uniform,PoisFFT,"D | N",384,12,       0.005549
1,float,uniform,PoisFFT,"D | N",384,13,       0.005490
1,float,uniform,PoisFFT,"D | N",384,14,       0.005522
1,float,uniform,PoisFFT,"D | N",384,15,       0.005460
1,float,uniform,PoisFFT,"D | N",384,16,       0.005497
1,float,uniform,PoisFFT,"D | N",384,17,       0.005507
1,float,uniform,PoisFFT,"D | N",384,18,       0.005515
1,float,uniform,PoisFFT,"D | N",384,19,       0.005517
1,float,uniform,PoisFFT,"D | N",448,0,       0.007334
1,float,uniform,PoisFFT,"D | N",448,1,       0.006712
1,float,uniform,PoisFFT,"D | N",448,2,       0.006692
1,float,uniform,PoisFFT,"D | N",448,3,       0.006657
1,float,uniform,PoisFFT,"D | N",448,4,       0.006620
1,float,uniform,PoisFFT,"D | N",448,5,       0.006594
1,float,uniform,PoisFFT,"D | N",448,6,       0.006616
1,float,uniform,PoisFFT,"D | N",448,7,       0.006612
1,float,uniform,PoisFFT,"D | N",448,8,       0.006586
1,float,uniform,PoisFFT,"D | N",448,9,       0.006577
1,float,uniform,PoisFFT,"D | N",448,10,       0.007116
1,float,uniform,PoisFFT,"D | N",448,11,       0.007041
1,float,uniform,PoisFFT,"D | N",448,12,       0.007085
1,float,uniform,PoisFFT,"D | N",448,13,       0.007060
1,float,uniform,PoisFFT,"D | N",448,14,       0.007055
1,float,uniform,PoisFFT,"D | N",448,15,       0.007085
1,float,uniform,PoisFFT,"D | N",448,16,       0.007068
1,float,uniform,PoisFFT,"D | N",448,17,       0.007084
1,float,uniform,PoisFFT,"D | N",448,18,       0.007061
1,float,uniform,PoisFFT,"D | N",448,19,       0.007086
1,float,uniform,PoisFFT,"D | N",512,0,       0.007531
1,float,uniform,PoisFFT,"D | N",512,1,       0.023704
1,float,uniform,PoisFFT,"D | N",512,2,       0.007343
1,float,uniform,PoisFFT,"D | N",512,3,       0.007293
1,float,uniform,PoisFFT,"D | N",512,4,       0.007334
1,float,uniform,PoisFFT,"D | N",512,5,       0.007296
1,float,uniform,PoisFFT,"D | N",512,6,       0.007324
1,float,uniform,PoisFFT,"D | N",512,7,       0.007304
1,float,uniform,PoisFFT,"D | N",512,8,       0.007330
1,float,uniform,PoisFFT,"D | N",512,9,       0.007284
1,float,uniform,PoisFFT,"D | N",512,10,       0.007301
1,float,uniform,PoisFFT,"D | N",512,11,       0.007310
1,float,uniform,PoisFFT,"D | N",512,12,       0.010714
1,float,uniform,PoisFFT,"D | N",512,13,       0.008213
1,float,uniform,PoisFFT,"D | N",512,14,       0.007649
1,float,uniform,PoisFFT,"D | N",512,15,       0.007621
1,float,uniform,PoisFFT,"D | N",512,16,       0.007596
1,float,uniform,PoisFFT,"D | N",512,17,       0.007592
1,float,uniform,PoisFFT,"D | N",512,18,       0.007570
1,float,uniform,PoisFFT,"D | N",512,19,       0.007563
