dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,0,       0.057120
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,1,       0.054570
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,2,       0.054313
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,3,       0.054309
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,4,       0.054393
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,5,       0.057503
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,6,       0.054183
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,7,       0.054273
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,8,       0.054324
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,9,       0.064118
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,10,       0.052723
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,11,       0.052873
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,12,       0.052880
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,13,       0.052704
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,14,       0.052721
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,15,       0.052944
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,16,       0.053017
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,17,       0.052798
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,18,       0.053005
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",64,19,       0.052716
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,0,       0.281572
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,1,       0.268372
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,2,       0.265093
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,3,       0.264868
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,4,       0.267605
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,5,       0.264482
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,6,       0.264816
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,7,       0.269166
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,8,       0.264763
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,9,       0.264730
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,10,       0.264794
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,11,       0.266845
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,12,       0.264856
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,13,       0.264977
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,14,       0.267089
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,15,       0.272530
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,16,       0.272311
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,17,       0.275104
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,18,       0.272283
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",128,19,       0.278789
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,0,       0.977074
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,1,       0.960846
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,2,       0.958066
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,3,       0.960297
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,4,       0.963252
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,5,       0.961745
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,6,       0.960786
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,7,       0.961598
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,8,       0.960978
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,9,       0.961328
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,10,       0.961424
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,11,       0.960417
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,12,       1.094012
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,13,       1.075249
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,14,       0.973807
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,15,       0.961536
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,16,       0.960722
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,17,       0.960769
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,18,       0.960107
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",192,19,       0.960598
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,0,       1.648200
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,1,       1.663478
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,2,       1.676277
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,3,       1.675365
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,4,       1.751263
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,5,       1.667874
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,6,       1.670891
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,7,       1.665124
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,8,       1.664508
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,9,       1.670042
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,10,       1.659829
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,11,       1.674383
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,12,       1.674369
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,13,       1.673569
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,14,       1.677295
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,15,       1.676995
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,16,       1.673543
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,17,       1.680510
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,18,       1.655684
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",256,19,       1.677427
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,0,       1.974179
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,1,       1.984166
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,2,       1.989006
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,3,       1.986961
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,4,       1.983765
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,5,       1.983819
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,6,       1.982876
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,7,       1.984625
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,8,       1.984548
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,9,       1.983453
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,10,       1.983536
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,11,       1.984610
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,12,       1.985665
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,13,       1.984372
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,14,       1.987567
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,15,       2.172084
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,16,       2.021087
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,17,       1.982522
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,18,       1.983311
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",320,19,       1.980668
2,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns",384,0,       3.665838
