dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,0,       2.565241
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,1,       2.442560
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,2,       2.490981
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,3,       2.514429
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,4,       2.503409
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,5,       2.490672
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,6,       2.492396
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,7,       2.473785
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,8,       2.482287
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,9,       2.447157
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,10,       2.478454
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,11,       2.494336
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,12,       2.512075
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,13,       2.504747
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,14,       2.457485
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,15,       2.479150
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,16,       2.434057
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,17,       2.441199
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,18,       2.525244
3,float,uniform,PoisFFT,"N | N | N | N | N | N",64,19,       2.490625
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,0,     105.732450
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,1,     106.586327
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,2,     107.239262
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,3,     107.354688
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,4,     107.561997
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,5,     107.886895
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,6,     107.201955
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,7,     107.176654
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,8,     107.297064
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,9,     107.181317
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,10,     107.172088
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,11,     107.199658
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,12,     107.336853
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,13,     107.286761
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,14,     108.059124
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,15,     107.149332
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,16,     107.791992
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,17,     106.453003
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,18,     105.839225
3,float,uniform,PoisFFT,"N | N | N | N | N | N",128,19,     105.870994
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,0,     433.498220
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,1,     430.091869
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,2,     429.996204
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,3,     429.868473
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,4,     429.515333
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,5,     429.387041
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,6,     430.112075
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,7,     430.352574
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,8,     434.258478
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,9,     430.408036
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,10,     430.212816
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,11,     429.833256
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,12,     429.613598
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,13,     433.137565
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,14,     430.945348
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,15,     430.250830
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,16,     429.220914
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,17,     429.623619
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,18,     434.127564
3,float,uniform,PoisFFT,"N | N | N | N | N | N",192,19,     429.782968
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,0,     269.380203
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,1,     268.022555
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,2,     268.574756
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,3,     268.399553
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,4,     268.608593
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,5,     268.230784
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,6,     268.226977
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,7,     268.739905
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,8,     268.168013
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,9,     267.901984
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,10,     268.733424
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,11,     268.068650
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,12,     268.185340
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,13,     268.279339
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,14,     268.287289
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,15,     268.751070
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,16,     268.178133
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,17,     268.509381
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,18,     269.130575
3,float,uniform,PoisFFT,"N | N | N | N | N | N",256,19,     268.481183
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,0,     716.825718
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,1,     722.153554
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,2,     715.020173
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,3,     715.096742
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,4,     714.962397
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,5,     717.028778
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,6,     715.253760
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,7,     714.593692
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,8,     725.741324
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,9,     715.245543
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,10,     716.298203
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,11,     714.769639
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,12,     720.842543
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,13,     715.905658
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,14,     714.806003
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,15,     726.485487
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,16,     714.172853
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,17,     715.109181
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,18,     715.084796
3,float,uniform,PoisFFT,"N | N | N | N | N | N",320,19,     722.556040
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,0,    3525.689660
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,1,    3549.773257
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,2,    3521.301459
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,3,    3578.826678
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,4,    3530.617782
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,5,    3531.186485
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,6,    3576.026663
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,7,    3521.680134
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,8,    3529.313895
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,9,    3538.847664
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,10,    3521.949481
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,11,    3516.061328
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,12,    3554.673420
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,13,    3526.987838
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,14,    3562.442245
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,15,    3574.714047
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,16,    3539.838915
3,float,uniform,PoisFFT,"N | N | N | N | N | N",384,17,    3571.091940
