dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,0,       1.111231
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,1,       0.816380
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,2,       0.798234
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,3,       0.834454
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,4,       0.800643
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,5,       0.787205
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,6,       0.774165
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,7,       0.789024
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,8,       0.778275
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,9,       0.793201
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,10,       0.788338
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,11,       0.788169
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,12,       0.787884
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,13,       0.802112
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,14,       0.765631
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,15,       0.808015
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,16,       0.768986
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,17,       0.767912
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,18,       0.789623
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,19,       0.791176
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,0,       6.783458
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,1,       6.480524
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,2,       6.361714
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,3,       6.460806
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,4,       6.287620
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,5,       6.293500
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,6,       6.277850
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,7,       6.351166
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,8,       6.585000
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,9,       6.565043
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,10,       6.569302
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,11,       6.490536
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,12,       6.461057
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,13,       6.508272
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,14,       6.537357
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,15,       6.583426
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,16,       6.746291
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,17,       6.489592
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,18,       6.434569
3,float,uniform,PoisFFT,"P | P | P | P | N | D",128,19,       6.402951
